log_adp,m
0.1823215567939546,19.31297081332533
1.589235205116581,19.31297081332533
1.6094379124341003,19.149079400991166
1.824549292051046,19.149079400991166
1.840549633397487,18.25
1.8718021769015913,18.25
1.9459101490553132,17.199379557608168
2.1400661634962708,17.199379557608168
2.151762203259462,16.801664115296468
2.5416019934645457,16.801664115296468
2.5494451709255714,16.603668390433096
2.6461747973841225,16.603668390433096
2.667228206581955,15.764732142857142
2.681021528714291,15.764732142857142
2.6946271807700692,15.735458225108225
2.9652730660692823,15.735458225108225
2.970414465569701,14.529086646022046
3.3141860046725258,14.529086646022046
3.3214324131932926,13.4515204915999
3.653252276470785,13.4515204915999
3.655839600035736,12.425298295454546
3.696351468952637,12.425298295454546
3.713572066704308,12.042590420341435
3.8732821771117156,12.042590420341435
3.8753590210565547,11.408677885557127
4.135166556742356,11.408677885557127
4.139955073474153,11.261538461538462
4.144720769547168,10.627549988698345
4.351567427189173,10.627549988698345
4.37197629882038,9.302038690476191
4.403054001865957,9.302038690476191
