pos,split,bin,n,mean_age,mean_mu,mean_ppg,gain_mu_cal,mean_delta_mu_cal,gain_mu_age,mean_delta_mu_age,gain_mu_star,mean_delta_mu_star
WR,|mu_hat - mean| quartile,0,142,27.165842419334627,13.244484515916026,12.898501360946888,-0.14222002550975685,-0.42722948469246763,0.4074654525845833,-0.22222268788799396,0.1711847440352993,-0.5109900386907229
WR,|mu_hat - mean| quartile,1,142,26.930329409723225,13.216763481034418,12.399260333022864,0.3329167705642037,-0.41449540887197334,1.0356709508755877,-0.19173644370005552,0.9635140058391605,-0.44969066619056136
WR,|mu_hat - mean| quartile,2,142,26.664468673781222,12.607289397103694,12.032182952714228,-0.012177355704045411,-0.21538602488813152,0.5301054803858769,-0.15811172517680724,0.10898313521789807,-0.2242503772391542
WR,|mu_hat - mean| quartile,3,142,26.500448274864794,13.658605859079941,13.760628065837782,4.843283867885548,-0.5592491355169626,2.536812054964962,-0.21446543909026286,5.426782190870462,-0.4484313473085853
WR,age tercile,0,190,23.700695270002516,11.892728928042814,12.543705915936487,1.2843368943020361,0.03174121372768661,-0.13045881889833263,0.8445471320449213,1.5223716832980891,0.8122015651614986
WR,age tercile,1,189,26.46153066139377,13.26918485490188,12.90913537678734,0.01692313866047028,-0.4381938465813918,0.3396852608582279,-0.2882945579771123,0.20291487090979463,-0.5476890937929412
WR,age tercile,2,189,30.30006989486798,14.390264063706079,12.866299549933073,2.4649395735623756,-0.8081233929526529,3.1799699502626533,-1.151663691229036,3.2783299913128707,-1.4959921885330165
WR,residual(mu_star) ~ mu_hat,-1,568,-0.000628394533010264,-0.0006478967870917122,0.012962813348343975,,,,,,
WR,residual(mu_star) ~ age,-1,568,-0.025282853113960776,-0.02981201830425581,-0.013964411027297327,,,,,,
WR,residual(mu_star) ~ z,-1,568,-0.011006248758094006,-0.5352300934250721,5.551930726625867,,,,,,
RB,|mu_hat - mean| quartile,0,123,26.60285025848205,11.794086076325542,9.92193262287954,1.038695602758429,-0.2833478935407633,1.244198859239896,-0.33756353454280696,1.1998283232855886,-0.3666043683152673
RB,|mu_hat - mean| quartile,1,122,26.699206696513723,11.286571632869299,10.872881769267376,-0.592273635485883,-0.07199993372095584,1.3984470060823504,-0.34047436735107195,0.8017713478591173,-0.25732270208083097
RB,|mu_hat - mean| quartile,2,122,25.76822522188934,11.589661449291308,12.283281489818979,0.8681262781441561,-0.21346581281108265,0.08612305889532304,-0.21345758562062409,0.5595150686791219,-0.1124659296135853
RB,|mu_hat - mean| quartile,3,122,25.673073686336558,12.838746947975462,13.211260235866675,9.790857367788297,-0.6939055367324166,2.7185640283361026,-0.29265431294224276,11.161613468716657,-0.5365111555533842
RB,age tercile,0,164,23.606500726198224,11.086964588353961,12.17697603249612,2.7267203255354215,-0.007934273142557492,0.08610808559284058,0.5337338871160934,3.441472773960316,1.1166763574770822
RB,age tercile,1,162,25.707320370792882,12.005145318095256,11.730352944834154,2.0450458305270294,-0.37077175651108074,0.45419771447312873,-0.3265304305773845,2.1368215510458706,-0.4084355596327542
RB,age tercile,2,163,29.25914261599123,12.544812374497925,10.796822899423043,3.5424455366906775,-0.570360994561981,3.546730449625247,-1.100848263336005,4.692061616971176,-1.6725722289125449
RB,residual(mu_star) ~ mu_hat,-1,489,0.007509731308902576,0.007146930613000717,0.021263410828060218,,,,,,
RB,residual(mu_star) ~ age,-1,489,-0.02539385411474551,-0.03931474356920327,-0.01819475610461394,,,,,,
RB,residual(mu_star) ~ z,-1,489,0.0008056943211115955,0.05344682357691041,-12.915607719395915,,,,,,
