year,name,gsis_id,adp,adp_rank,rookie_season,exp,games,ppg,tier,in_fit,m_ols,m_iso,resid_iso,resid_ols
2015,Adrian Peterson,00-0025394,1.8,1,2007,8,16,16.29375,vet,True,20.721079840476552,19.40125646412411,-3.1075064641241106,-4.427329840476553
2015,LeVeon Bell,00-0030496,3.1,2,2013,2,6,18.533333333333335,vet,True,19.314625899466634,19.40125646412411,-0.8679231307907749,-0.781292566133299
2015,Eddie Lacy,00-0030485,4.0,3,2013,2,15,9.373333333333333,vet,True,18.655163017621142,19.40125646412411,-10.027923130790777,-9.281829684287809
2015,Jamaal Charles,00-0026213,4.5,4,2008,7,5,20.22,vet,True,18.350432135298952,19.40125646412411,0.818743535875889,1.8695678647010467
2015,Marshawn Lynch,00-0025399,8.6,5,2007,8,7,11.814285714285713,vet,True,16.674727638073236,16.783941579810566,-4.969655865524853,-4.860441923787523
2015,CJ Anderson,00-0029854,10.7,6,2013,2,15,9.42,vet,True,16.10946735641784,16.783941579810566,-7.363941579810566,-6.6894673564178415
2015,Matt Forte,00-0026184,13.7,7,2008,7,13,16.515384615384615,vet,True,15.47002998370889,16.113404977375566,0.401979638009049,1.0453546316757247
2015,Jeremy Hill,00-0031301,14.4,8,2014,1,16,10.64375,soph,True,15.34110256104761,15.764732142857142,-5.120982142857141,-4.697352561047609
2015,DeMarco Murray,00-0028009,17.6,9,2011,4,15,12.293333333333333,vet,True,14.821922886796491,15.48991409805029,-3.1965807647169573,-2.528589553463158
2015,Justin Forsett,00-0026373,19.3,10,2008,7,10,12.24,vet,True,14.583364976856448,15.48991409805029,-3.24991409805029,-2.3433649768564475
2015,Lamar Miller,00-0029615,22.3,11,2012,3,16,14.49375,vet,True,14.209559021813748,14.434106455309395,0.059643544690604955,0.2841909781862526
2015,LeSean McCoy,00-0027029,24.4,12,2009,6,12,14.891666666666666,vet,True,13.976718200301628,14.434106455309395,0.4575602113572703,0.914948466365038
2015,Frank Gore,00-0023500,27.7,13,2005,10,16,12.0875,vet,True,13.648530927207597,13.416324058711414,-1.3288240587114135,-1.5610309272075966
2015,Mark Ingram II,00-0027966,31.0,14,2011,4,12,16.95,vet,True,13.357326674669743,13.416324058711414,3.5336759412885854,3.5926733253302565
2015,Latavius Murray,00-0030513,33.2,15,2013,2,16,12.799999999999999,vet,True,13.179939810381349,13.416324058711414,-0.6163240587114149,-0.37993981038134983
2015,Arian Foster,00-0026796,37.5,16,2009,6,4,19.25,vet,True,12.864839286200027,13.416324058711414,5.833675941288586,6.385160713799973
2015,Doug Martin,00-0029613,38.0,17,2012,3,16,14.51875,vet,True,12.830570941768267,13.416324058711414,1.1024259412885868,1.688179058231734
2015,Ameer Abdullah,00-0032104,41.5,18,2015,0,16,7.3125,rookie,True,12.6026178650134,12.035856922066072,-4.723356922066072,-5.2901178650134
2015,Andre Ellington,00-0030287,43.7,19,2013,2,10,7.470000000000001,vet,True,12.468975744482849,12.035856922066072,-4.565856922066072,-4.998975744482848
2015,Carlos Hyde,00-0031045,44.7,20,2014,1,7,11.614285714285714,soph,True,12.41043880901007,12.035856922066072,-0.4215712077803584,-0.7961530947243567
2015,Chris Ivory,00-0027531,47.6,21,2010,5,15,13.513333333333334,vet,True,12.247807938284764,12.035856922066072,1.4774764112672614,1.26552539504857
2015,Alfred Morris,00-0029141,48.2,22,2012,3,16,6.0375,vet,True,12.21539972104343,11.360280038588861,-5.322780038588862,-6.177899721043431
2015,Melvin Gordon III,00-0032144,51.8,23,2015,0,14,7.735714285714286,rookie,True,12.029039188463916,11.360280038588861,-3.6245657528745756,-4.29332490274963
2015,Jonathan Stewart,00-0026153,53.0,24,2008,7,13,12.523076923076925,vet,True,11.969787235931667,11.360280038588861,1.1627968844880634,0.5532896871452575
2015,Joseph Randle,00-0030388,56.6,25,2013,2,6,12.35,vet,True,11.799762570511291,11.360280038588861,0.9897199614111383,0.5502374294887087
2015,C.J. Spiller,00-0027861,57.9,26,2010,5,13,6.238461538461538,vet,True,11.74101089598088,11.360280038588861,-5.121818500127324,-5.502549357519342
2015,Todd Gurley,00-0032241,60.2,27,2015,0,13,16.03076923076923,rookie,True,11.640225739418927,11.360280038588861,4.670489192180369,4.390543491350304
2015,TJ Yeldon,00-0032209,63.1,28,2015,0,12,12.991666666666667,rookie,True,11.518501030803707,10.82966031491174,2.1620063517549273,1.4731656358629603
2015,LeGarrette Blount,00-0027325,68.5,29,2010,5,12,10.216666666666667,vet,True,11.306056518721643,10.82966031491174,-0.6129936482450731,-1.0893898520549765
