pos,tier,n,k_real,rate_real,wilson_real_lo,wilson_real_hi,k_proj,rate_proj,wilson_proj_lo,wilson_proj_hi
RB,1-12,120,57,0.475,0.3878193727928457,0.5637316407599509,38,0.31666666666666665,0.2402270792621595,0.4044803534583481
RB,13-24,120,41,0.3416666666666667,0.26290306359700033,0.43025335557071076,36,0.3,0.22525501338672319,0.38715309503564865
RB,25-36,120,28,0.23333333333333334,0.16665469513089648,0.31655611609893264,40,0.3333333333333333,0.255316102227993,0.4216906547906502
RB,37-48,120,36,0.3,0.22525501338672319,0.38715309503564865,39,0.325,0.24775726408835433,0.41309983078122114
WR,1-12,121,62,0.512396694214876,0.4243319030267372,0.5996985483612616,49,0.4049586776859504,0.32172327517845634,0.4940432641802188
WR,13-24,119,40,0.33613445378151263,0.2575647533744133,0.4249532209925764,43,0.36134453781512604,0.28061734896606716,0.4507440139598472
WR,25-36,120,36,0.3,0.22525501338672319,0.38715309503564865,37,0.30833333333333335,0.23272612182675728,0.3958316487446824
WR,37-48,120,36,0.3,0.22525501338672319,0.38715309503564865,32,0.26666666666666666,0.1956834035411147,0.35212605628498583
