year,frame,pos,demand,R_static_total,R_static_ppg,R_marg_week,R_marg_season17
2015,10,QB,10,285.2,16.776470588235295,19.829411764705885,337.1
2015,10,RB,20,166.3,9.782352941176471,11.641176470588235,197.89999999999998
2015,10,WR,40,167.4,9.847058823529412,11.570588235294117,196.7
2015,10,TE,10,160.1,9.41764705882353,13.029411764705882,221.5
2015,12,QB,12,274.98,16.17529411764706,18.74588235294118,318.68000000000006
2015,12,RB,28,147.6,8.68235294117647,9.935294117647059,168.9
2015,12,WR,44,150.9,8.876470588235295,9.988235294117645,169.79999999999998
2015,12,TE,12,130.7,7.688235294117646,11.488235294117647,195.3
2016,10,QB,10,268.48,15.79294117647059,19.365882352941178,329.22
2016,10,RB,21,176.3,10.370588235294118,11.723529411764707,199.3
2016,10,WR,39,180.0,10.588235294117647,11.700000000000001,198.9
2016,10,TE,10,152.3,8.958823529411765,12.023529411764704,204.39999999999998
2016,12,QB,12,259.94,15.290588235294118,18.056470588235292,306.96
2016,12,RB,24,161.8,9.51764705882353,10.041176470588237,170.70000000000002
2016,12,WR,48,155.8,9.164705882352942,10.182352941176468,173.09999999999997
2016,12,TE,12,145.4,8.552941176470588,11.052941176470588,187.9
2017,10,QB,10,260.66,15.33294117647059,18.156470588235294,308.65999999999997
2017,10,RB,24,157.5,9.264705882352942,10.97058823529412,186.50000000000003
2017,10,WR,36,156.2,9.188235294117646,11.029411764705882,187.5
2017,10,TE,10,137.2,8.070588235294117,11.452941176470588,194.7
2017,12,QB,12,249.68,14.687058823529412,17.24235294117647,293.12
2017,12,RB,30,143.5,8.441176470588236,9.276470588235291,157.69999999999996
2017,12,WR,42,138.9,8.170588235294119,9.299999999999999,158.1
2017,12,TE,12,132.4,7.788235294117648,10.34705882352941,175.89999999999998
2018,10,QB,10,285.02,16.765882352941176,20.764705882352942,353.0
2018,10,RB,25,162.5,9.558823529411764,12.047058823529412,204.8
2018,10,WR,35,159.0,9.352941176470589,11.923529411764704,202.7
2018,10,TE,10,131.2,7.717647058823529,11.452941176470588,194.7
2018,12,QB,12,282.6,16.623529411764707,19.16705882352941,325.84
2018,12,RB,30,150.3,8.841176470588236,10.3,175.10000000000002
2018,12,WR,42,150.2,8.835294117647058,10.276470588235293,174.7
2018,12,TE,12,126.3,7.429411764705883,10.064705882352941,171.1
2019,10,QB,10,267.34000000000003,15.725882352941179,20.13294117647059,342.26000000000005
2019,10,RB,24,167.2,9.835294117647058,11.623529411764705,197.6
2019,10,WR,36,170.0,10.0,11.5,195.5
2019,10,TE,10,139.9,8.229411764705883,12.305882352941177,209.20000000000002
2019,12,QB,12,247.52,14.56,18.510588235294115,314.67999999999995
2019,12,RB,28,154.0,9.058823529411764,10.011764705882353,170.2
2019,12,WR,44,154.2,9.070588235294117,9.823529411764707,167.0
2019,12,TE,12,123.7,7.276470588235294,10.805882352941177,183.70000000000002
2020,10,QB,10,306.2,18.011764705882353,21.512941176470587,365.71999999999997
2020,10,RB,22,170.4,10.023529411764706,12.170588235294119,206.90000000000003
2020,10,WR,38,172.02,10.118823529411765,11.935294117647059,202.9
2020,10,TE,10,149.1,8.770588235294117,12.317647058823528,209.39999999999998
2020,12,QB,12,272.12,16.007058823529412,19.924705882352942,338.72
