pos,n,target,rmse_const,rmse_model,r_pred,R2_oos,sd_avail,mean_avail,mean_gain,dm_t,dm_p,mde80,folds_improved,n_folds,obs_over_mde
WR,569,avail = G/S,0.18728639014686596,0.1835672061270058,0.1922069982666388,0.03932219243055568,0.18701369394424258,0.8211968882456322,0.0014065173219244694,2.3633638152434844,0.042367203066873804,0.0018720291970437107,8,10,0.7513330049262197
RB,490,avail = G/S,0.2088622059100121,0.2070296770143547,0.11829970672039422,0.01747075021745792,0.20836362211949178,0.7941326530612245,0.0007078013121469814,1.3676198930794377,0.204607293183403,0.0016279612708606762,8,10,0.43477773385406066
