rank_final,player,adp,adp_rank,tier,theta_star_blind,V_final,post_SD,delta_rank_vs_adp,delta_rank_vs_blind,edge_terms_applied,V_final_v2,round2_verdict,rank_v2
20,Mike Evans,51.2,26,vet,13.79254086509587,13.79254086509587,2.5128848977265363,6,0,none (no term survived FDR + temporal holdout),13.79254086509587,unchanged: neither (v) nor (vi) beat the blind posterior in LOSO (DM vs (ii) n.s.),20
21,Ladd McConkey,35.3,18,vet,13.755367970029582,13.755367970029582,2.767312012728055,-3,0,none (no term survived FDR + temporal holdout),13.755367970029582,unchanged: neither (v) nor (vi) beat the blind posterior in LOSO (DM vs (ii) n.s.),21
22,Terry McLaurin,36.6,19,vet,13.665095073289404,13.665095073289404,2.5212018896592,-3,0,none (no term survived FDR + temporal holdout),13.665095073289404,unchanged: neither (v) nor (vi) beat the blind posterior in LOSO (DM vs (ii) n.s.),22
23,Emeka Egbuka,45.5,24,soph,13.501168667059108,13.501168667059108,2.5605819664843597,1,0,none (no term survived FDR + temporal holdout),13.501168667059108,unchanged: neither (v) nor (vi) beat the blind posterior in LOSO (DM vs (ii) n.s.),23
24,Jameson Williams,47.2,25,vet,13.385774395897291,13.385774395897291,2.580115267706542,1,0,none (no term survived FDR + temporal holdout),13.385774395897291,unchanged: neither (v) nor (vi) beat the blind posterior in LOSO (DM vs (ii) n.s.),24
25,Jaylen Waddle,42.2,21,vet,13.321707134989676,13.321707134989676,2.5467146940511927,-4,0,none (no term survived FDR + temporal holdout),13.321707134989676,unchanged: neither (v) nor (vi) beat the blind posterior in LOSO (DM vs (ii) n.s.),25
26,Luther Burden III,45.2,23,soph,13.204724642404926,13.204724642404926,2.5605819664843597,-3,0,none (no term survived FDR + temporal holdout),13.204724642404926,unchanged: neither (v) nor (vi) beat the blind posterior in LOSO (DM vs (ii) n.s.),26
27,DK Metcalf,56.2,28,vet,12.713531158237512,12.713531158237512,2.5212018896592,1,0,none (no term survived FDR + temporal holdout),12.713531158237512,unchanged: neither (v) nor (vi) beat the blind posterior in LOSO (DM vs (ii) n.s.),27
28,Christian Watson,60.1,30,vet,12.302850047063938,12.302850047063938,2.580115267706542,2,0,none (no term survived FDR + temporal holdout),12.302850047063938,unchanged: neither (v) nor (vi) beat the blind posterior in LOSO (DM vs (ii) n.s.),28
29,Rome Odunze,54.9,27,vet,12.11254379408135,12.11254379408135,2.767312012728055,-2,0,none (no term survived FDR + temporal holdout),12.11254379408135,unchanged: neither (v) nor (vi) beat the blind posterior in LOSO (DM vs (ii) n.s.),29
30,Alec Pierce,59.4,29,vet,11.810395865856918,11.810395865856918,2.580115267706542,-1,0,none (no term survived FDR + temporal holdout),11.810395865856918,unchanged: neither (v) nor (vi) beat the blind posterior in LOSO (DM vs (ii) n.s.),30
