position,outcome,era,age,fit,lo,hi
WR,relative,POOLED,21.0,0.8598987643058496,0.7416744228181523,0.9752215574697009
WR,relative,POOLED,21.05,0.862981536155807,0.7475485505406201,0.9752473625776786
WR,relative,POOLED,21.1,0.8660643212961148,0.753304635526268,0.975865152587149
WR,relative,POOLED,21.150000000000002,0.8691471221415472,0.7581394138680795,0.9774334977571207
WR,relative,POOLED,21.200000000000003,0.8722299411068788,0.7629139717755022,0.9781643538273463
WR,relative,POOLED,21.250000000000004,0.8753127806068841,0.7693214793602009,0.978486665516463
WR,relative,POOLED,21.300000000000004,0.8783956430563375,0.7749620526504818,0.9779605417857692
WR,relative,POOLED,21.350000000000005,0.8814785308700137,0.7808875470108355,0.9774267001917443
WR,relative,POOLED,21.400000000000006,0.884561446462687,0.7869449824529763,0.9769084991403734
WR,relative,POOLED,21.450000000000006,0.8876443922491319,0.7924256557057773,0.9765493041208161
WR,relative,POOLED,21.500000000000007,0.890727370644123,0.7972736992227991,0.9762856540747569
WR,relative,POOLED,21.550000000000008,0.8938103840624347,0.8022964777297407,0.9762277308436123
WR,relative,POOLED,21.60000000000001,0.8968934349188415,0.8080468482400627,0.9763874894511206
WR,relative,POOLED,21.65000000000001,0.8999765256281179,0.8137412933938177,0.9765646891146434
WR,relative,POOLED,21.70000000000001,0.9030596586050385,0.8190244678492115,0.9773699646625039
WR,relative,POOLED,21.75000000000001,0.9061428362643775,0.8242956102744973,0.9770074652375454
WR,relative,POOLED,21.80000000000001,0.9092260610209096,0.830514284038766,0.9771169478141188
WR,relative,POOLED,21.850000000000012,0.9123093352894094,0.8362893621926263,0.976995822059299
WR,relative,POOLED,21.900000000000013,0.9153926614846511,0.8417917039409702,0.9779321033263754
WR,relative,POOLED,21.950000000000014,0.9184760420214094,0.847262119867245,0.9783265175446743
WR,relative,POOLED,22.000000000000014,0.9215594793144587,0.852684014519126,0.9787524067892817
WR,relative,POOLED,22.050000000000015,0.9246429757785735,0.8580022075076833,0.9791875994075869
WR,relative,POOLED,22.100000000000016,0.9277265338285283,0.8632641688972126,0.9798884774883861
WR,relative,POOLED,22.150000000000016,0.9308101558790977,0.8675112657498939,0.982197845095519
WR,relative,POOLED,22.200000000000017,0.933893844345056,0.8716360507548156,0.9848779798280193
WR,relative,POOLED,22.250000000000018,0.9369776016411777,0.8761479410121833,0.9875538601844449
WR,relative,POOLED,22.30000000000002,0.9400614301822375,0.8800809471899819,0.9895586528046567
WR,relative,POOLED,22.35000000000002,0.9431453323830097,0.8846202182212805,0.9900051329849208
WR,relative,POOLED,22.40000000000002,0.9462293106582689,0.8901290627675572,0.9914782434720905
WR,relative,POOLED,22.45000000000002,0.9493133674227894,0.8953083680189221,0.9933204801473035
WR,relative,POOLED,22.50000000000002,0.9523975050913458,0.8995145172023135,0.9954192525825939
WR,relative,POOLED,22.550000000000022,0.9554817260787127,0.902928033080171,0.9980450343242249
WR,relative,POOLED,22.600000000000023,0.9585660327996646,0.9067100621636152,1.0009308833301414
WR,relative,POOLED,22.650000000000023,0.9616504276689757,0.9101062263782999,1.003649184308592
WR,relative,POOLED,22.700000000000024,0.9647349131014208,0.9131691459590542,1.0055236741725682
WR,relative,POOLED,22.750000000000025,0.9678194915117742,0.9165985518037411,1.008561636616816
WR,relative,POOLED,22.800000000000026,0.9709041653148105,0.9200746296353309,1.0115663755686235
WR,relative,POOLED,22.850000000000026,0.9739889369253041,0.9234297775025201,1.0145370500070698
WR,relative,POOLED,22.900000000000027,0.9770738087580295,0.9271117854779759,1.0175345816131773
WR,relative,POOLED,22.950000000000028,0.9801587832277613,0.931100350426826,1.0214522634237917
WR,relative,POOLED,23.00000000000003,0.9832438627492739,0.934168023791167,1.0248841881807504
WR,relative,POOLED,23.05000000000003,0.9863290497373418,0.9377493247290104,1.0286038863105351
WR,relative,POOLED,23.10000000000003,0.9894143466067393,0.9413501247686817,1.032107988640358
WR,relative,POOLED,23.15000000000003,0.9924997557722414,0.9448210821150939,1.034960961721247
WR,relative,POOLED,23.20000000000003,0.9955852796486221,0.9484338654329929,1.0381708388139814
WR,relative,POOLED,23.250000000000032,0.9986709206506561,0.9522836073160225,1.041418932543158
WR,relative,POOLED,23.300000000000033,1.0017566811931178,0.9559829191993185,1.0446899847177982
WR,relative,POOLED,23.350000000000033,1.0048425636907818,0.9597096118845992,1.047984459109611
WR,relative,POOLED,23.400000000000034,1.0079285705584224,0.963332180814433,1.0513028194903045
WR,relative,POOLED,23.450000000000035,1.0110147042108144,0.9662031690092963,1.0546345896313185
WR,relative,POOLED,23.500000000000036,1.014100967062732,0.9693794631997857,1.0579856891131352
WR,relative,POOLED,23.550000000000036,1.0171873615289497,0.9733554265565146,1.0610906923536774
WR,relative,POOLED,23.600000000000037,1.0202738900242423,0.9771831302354151,1.0642454670480956
WR,relative,POOLED,23.650000000000038,1.023360554963384,0.980085885974504,1.0679472439309179
WR,relative,POOLED,23.70000000000004,1.026447355395224,0.9841793622011157,1.0706928707021008
WR,relative,POOLED,23.75000000000004,1.0295331308207505,0.9875002735642865,1.0733919280502289
WR,relative,POOLED,23.80000000000004,1.032613869995047,0.9901179596913467,1.0763503920801576
WR,relative,POOLED,23.85000000000004,1.0356851314741282,0.9929625212474126,1.0792228937961592
WR,relative,POOLED,23.90000000000004,1.0387424738140092,0.9956033173118028,1.0820083925965427
WR,relative,POOLED,23.950000000000042,1.0417814555707052,0.9994359711576591,1.0847058478796177
WR,relative,POOLED,24.000000000000043,1.0447976353002308,1.003295822125067,1.0873142190436935
WR,relative,POOLED,24.050000000000043,1.0477865715586014,1.0064913786147713,1.0908466876846887
WR,relative,POOLED,24.100000000000044,1.0507438229018318,1.0100250518738727,1.0941049282660662
WR,relative,POOLED,24.150000000000045,1.053664947885937,1.012649741051526,1.0965473836267963
WR,relative,POOLED,24.200000000000045,1.0565455050669321,1.0150365393901517,1.0987467742139503
WR,relative,POOLED,24.250000000000046,1.0593810530008319,1.0178072756239394,1.101312318736264
WR,relative,POOLED,24.300000000000047,1.0621671502436514,1.0204918463291024,1.1041609865862632
WR,relative,POOLED,24.350000000000048,1.0648993553514057,1.0225353635921715,1.1069303143115978
WR,relative,POOLED,24.40000000000005,1.0675732268801097,1.02458354602786,1.1096136470197349
WR,relative,POOLED,24.45000000000005,1.0701843233857784,1.0279026889724487,1.1123675844386867
WR,relative,POOLED,24.50000000000005,1.072728203424427,1.0297548028262036,1.1150408601378357
WR,relative,POOLED,24.55000000000005,1.0752004255520702,1.0322893928789154,1.117043453761068
WR,relative,POOLED,24.60000000000005,1.0775965483247232,1.0343621730369448,1.1190705193291994
WR,relative,POOLED,24.650000000000052,1.0799121302984007,1.0365026987753054,1.121568000162166
WR,relative,POOLED,24.700000000000053,1.082142730029118,1.0385527471330958,1.1238110268271861
WR,relative,POOLED,24.750000000000053,1.08428390607289,1.039728451638383,1.126606872241312
WR,relative,POOLED,24.800000000000054,1.0863312169857315,1.041010628380915,1.127896035048687
WR,relative,POOLED,24.850000000000055,1.0882802213236578,1.04235503145389,1.130193847425216
WR,relative,POOLED,24.900000000000055,1.0901264776426838,1.0439573947464178,1.1323936435867104
WR,relative,POOLED,24.950000000000056,1.0918655444988243,1.04507381170459,1.133899924017384
WR,relative,POOLED,25.000000000000057,1.0934929804480944,1.04624203537646,1.135342162048043
WR,relative,POOLED,25.050000000000058,1.0950043440465091,1.0477692648762673,1.1369420468785902
WR,relative,POOLED,25.10000000000006,1.0963951938500835,1.0492594335078511,1.1381934067551447
WR,relative,POOLED,25.15000000000006,1.0976610884148323,1.0506993918282503,1.139575459540262
WR,relative,POOLED,25.20000000000006,1.098797586296771,1.051779280912317,1.1407291502142853
WR,relative,POOLED,25.25000000000006,1.099800246051914,1.0527580185628713,1.1416396037690697
WR,relative,POOLED,25.30000000000006,1.100664689590058,1.0534158680266554,1.1428696629169521
WR,relative,POOLED,25.350000000000062,1.1013898794589425,1.0528513053095196,1.1444366642617516
WR,relative,POOLED,25.400000000000063,1.1019797074114264,1.0531571945764397,1.1451975936350602
WR,relative,POOLED,25.450000000000063,1.1024384614173846,1.0539711442292585,1.1449433101051423
WR,relative,POOLED,25.500000000000064,1.1027704294466916,1.0547191719306375,1.1459969406446808
WR,relative,POOLED,25.550000000000065,1.1029798994692224,1.0554272717855353,1.1462801065589787
WR,relative,POOLED,25.600000000000065,1.103071159454852,1.0561152069874589,1.146379144335781
WR,relative,POOLED,25.650000000000066,1.1030484973734547,1.0567797747661234,1.1467881646746168
WR,relative,POOLED,25.700000000000067,1.102916201194906,1.0571869753604026,1.146794166018438
WR,relative,POOLED,25.750000000000068,1.10267855888908,1.0573451429937193,1.1473342498932195
WR,relative,POOLED,25.800000000000068,1.102339858425852,1.0585021835425845,1.1476620182634958
WR,relative,POOLED,25.85000000000007,1.1019043877750967,1.0589750674122558,1.147126886407895
WR,relative,POOLED,25.90000000000007,1.1013764349066886,1.0589784264861233,1.1453341832109654
WR,relative,POOLED,25.95000000000007,1.1007602877905027,1.0580153880752328,1.1447066297555308
WR,relative,POOLED,26.00000000000007,1.100060234396414,1.0576300751085677,1.144520616878164
WR,relative,POOLED,26.05000000000007,1.0992805626942972,1.0566911487523092,1.142923658081562
WR,relative,POOLED,26.100000000000072,1.098425560654027,1.0554545540307265,1.1424135967550046
WR,relative,POOLED,26.150000000000073,1.0974995162454784,1.0538935311444704,1.140825796066043
WR,relative,POOLED,26.200000000000074,1.0965067174385257,1.053592715029822,1.139930738666323
WR,relative,POOLED,26.250000000000075,1.0954514522030445,1.0526239716757015,1.1397643875709222
WR,relative,POOLED,26.300000000000075,1.0943380085089087,1.0510484725857068,1.1385579012113578
