pos,arm,n,target,rmse_incumbent,rmse_arm,mean_gain,dm_t,dm_p,mde80,folds_improved,n_folds,obs_over_mde,gain_vs_cal,p_vs_cal,mde_vs_cal
WR,ppsw_hat CALIBRATED (control),568,ppsw,4.332882848111922,4.095195462800249,2.0286374917866814,3.149625452770214,0.011744627597623049,2.0260196390698497,9,10,1.0012921161603514,0.0,,0.0
WR,"mu_hat x avail_wtd (naive, no model)",568,ppsw,4.332882848111922,4.3720220962006335,-0.33440703010867956,-1.6822598014269292,0.12681241331626672,0.6252885069719035,4,10,-0.534804376507924,-2.363044521895361,0.008467561476914394,2.2160935590672666
WR,mu_hat x avail_pred,568,ppsw,4.332882848111922,4.178854121108402,1.344599694653764,1.7928270806264233,0.10659347134980543,2.359134595927532,8,10,0.5699546337775242,-0.6840377971329177,0.2606340988082739,1.7925064087032094
WR,ridge_P1 x avail_pred,568,ppsw,4.332882848111922,4.102177060825342,1.9769614402123097,2.1563767084909973,0.05941686261004916,2.8838434513361815,8,10,0.6855300828816894,-0.05167605157437196,0.8969812217532414,1.2205288706711312
WR,"ridge_P1 (PPG, unscaled)",568,ppsw,4.332882848111922,4.566262169868313,-1.9783992884726291,-1.595328503922548,0.1451031600950023,3.9008741293960787,2,10,-0.5071681943192868,-4.007036780259311,0.008582132156404836,3.767346327677265
WR,"mu_hat (PPG, unscaled)",568,ppsw,4.332882848111922,5.028086204110288,-6.432463359330288,-4.94375756835473,0.0007981103293609892,4.092778770451995,1,10,-1.5716616314005911,-8.461100851116967,0.00028215378791571986,4.642112278702975
WR,ridge_P1 fit DIRECTLY on ppsw,568,ppsw,4.332882848111922,4.112017274717044,1.8882921398753294,2.212847770997246,0.05419286611275051,2.6842054985476715,8,10,0.7034827031302251,-0.14034535191135222,0.8011978371112214,1.7021778899104971
RB,ppsw_hat CALIBRATED (control),489,ppsw,5.076971089216066,4.674681717390883,3.8726264258748593,3.5936955344898456,0.005805176197654127,3.389709179082737,9,10,1.1424656869598473,0.0,,0.0
RB,"mu_hat x avail_wtd (naive, no model)",489,ppsw,5.076971089216066,5.0669193951537235,0.09633772759645584,0.404435266658981,0.6953353741065513,0.7492823349230088,5,10,0.12857333358373496,-3.776288698278403,0.010996848576829877,3.7230399236177467
RB,mu_hat x avail_pred,489,ppsw,5.076971089216066,4.7702038890853595,3.046241238857364,4.258911232605676,0.0021145346076679897,2.2499031284904256,10,10,1.3539432877277886,-0.8263851870174952,0.3438959717576118,2.6020532417412725
RB,ridge_P1 x avail_pred,489,ppsw,5.076971089216066,4.545953910282243,5.015817283563109,4.359420673454762,0.001825005870500574,3.6191871638882778,9,10,1.385896074568954,1.1431908576882515,0.04499232163670505,1.5455513145685054
RB,"ridge_P1 (PPG, unscaled)",489,ppsw,5.076971089216066,4.990924197331694,0.8155859560370857,0.5773331567116483,0.5778689503719219,4.443665436527676,6,10,0.18353901023529634,-3.0570404698377733,0.03147415183510073,3.7790769208291692
RB,"mu_hat (PPG, unscaled)",489,ppsw,5.076971089216066,5.5879507949313805,-5.379920752305802,-4.552989412595494,0.0013800269964151487,3.7168698385261663,0,10,-1.4474331859947718,-9.252547178180661,5.8007536011495106e-05,4.1115773709103705
RB,ridge_P1 fit DIRECTLY on ppsw,489,ppsw,5.076971089216066,4.564684775713169,4.870109446578339,4.306158483843693,0.0019727617256525432,3.5575157087541327,9,10,1.3689635816910801,0.9974830207034804,0.035557105234387834,1.270185060276285
