adp_dec,n,adp,frac_below_floor,ppg_fit
1,67,9.501,0.015,17.647
2,67,24.075,0.015,15.31
3,66,38.368,0.0,14.319
4,67,51.822,0.075,13.369
5,66,68.589,0.076,13.139
6,68,87.481,0.029,11.068
7,65,104.448,0.015,10.441
8,67,122.272,0.075,9.821
9,66,140.906,0.045,10.038
10,67,160.1,0.075,8.803
