log_adp,m
1.7749523509116738,16.848927029465635
2.990719731730447,16.848927029465635
3.044522437723423,13.903360701798203
3.349904087274605,13.903360701798203
3.3638415951183864,13.540000000000001
3.380994674344636,13.476185064935066
3.66612246699132,13.476185064935066
3.696351468952637,12.894331232492998
3.879499813722586,12.894331232492998
3.8979240810486444,11.629775407394895
4.200204952921578,11.629775407394895
4.244200317766478,11.185558608058608
4.257030144499196,11.185558608058608
4.279440045898781,10.72
4.286341384539473,10.369047619047619
4.28771595520264,10.369047619047619
4.312140507209715,10.353369451689588
4.685828089005546,10.353369451689588
4.705015520957808,10.059453965152493
4.971894465779825,10.059453965152493
4.977423159890142,9.359024349638846
5.0869788606835895,9.359024349638846
5.111385197196399,4.3999999999999995
