pos,arm,variant,n,n_treated,rmse_base,rmse_var,mean_gain,dm_t,dm_p,mde80,folds_improved,n_folds,obs_over_mde,ho_base,ho_var,ho_survives,bh_reject
WR,mu_hat (incumbent),D1 anchor G_last<12,638,180,3.401054144912574,3.3620775633166358,0.2603549438828038,1.7366276447125184,0.11646668899058878,0.4715820147149671,5,10,0.5520883658808895,3.3765484670290995,3.3291238470126796,True,False
WR,mu_hat (incumbent),D2 B'=1-(1-B)G/12,638,180,3.401054144912574,3.3718062676119422,0.1970980067623694,1.839265497122819,0.09902715639088369,0.33708228021555686,7,10,0.5847177924521262,3.3765484670290995,3.3504397092910203,True,False
WR,ridge_P1 (projection),D1 anchor G_last<12,638,180,3.3800227579130557,3.380091616779087,-0.002579463041965391,-0.05264172409364269,0.9591673002831685,0.15413359922358028,5,10,-0.01673524173158197,3.3785885936209437,3.366288891485129,True,False
WR,ridge_P1 (projection),D2 B'=1-(1-B)G/12,638,180,3.3800227579130557,3.3788377816985067,0.008873398113141067,0.3549634693119925,0.7307930218964991,0.0786329232590418,6,10,0.11284583791841592,3.3785885936209437,3.376601614395256,True,False
RB,mu_hat (incumbent),D1 anchor G_last<12,573,214,3.790927307456422,3.74368701208249,0.36981953206009144,1.8878246866055042,0.09165414331877199,0.6162065331997407,7,10,0.600155162490327,3.708099296617355,3.694253015369391,True,False
RB,mu_hat (incumbent),D2 B'=1-(1-B)G/12,573,214,3.790927307456422,3.760603244886298,0.23498696831751995,2.4451408558132957,0.03705087497903934,0.3022999049674314,8,10,0.7773306059849291,3.708099296617355,3.691318484967534,True,False
RB,ridge_P1 (projection),D1 anchor G_last<12,573,214,3.7208512107161806,3.7091352432261093,0.09051041311661143,1.0303778579483003,0.3297263804461659,0.27631225325482184,6,10,0.32756568719064566,3.6833087241298488,3.665098386175622,True,False
RB,ridge_P1 (projection),D2 B'=1-(1-B)G/12,573,214,3.7208512107161806,3.715340800587451,0.042944285472235076,1.1535130831611338,0.278412653996994,0.11710649189351871,7,10,0.36671139898275645,3.6833087241298488,3.676720270845678,True,False
