name,position,value,p_avail_at_88,p_avail_at_105,p_avail_at_116,p_avail_at_125,p_avail_at_136,p_avail_at_145
Darnell Mooney,WR,1.1091582006065224,1.0,0.991,0.978125,0.963,0.938625,0.91425
Juwan Johnson,TE,1.0953295607167923,1.0,0.855,0.742375,0.6485,0.5375,0.444
Hunter Henry,TE,1.0403295607167942,1.0,0.8695,0.764,0.672375,0.55775,0.467
Zach Charbonnet,RB,0.9825374584407908,1.0,0.9535,0.903375,0.852375,0.76,0.66775
Pat Freiermuth,TE,0.9703295607167924,1.0,0.87575,0.773625,0.691375,0.578875,0.488
Tyler Allgeier,RB,0.9244171788021271,1.0,0.95975,0.907125,0.85,0.770625,0.679375
Samaje Perine,RB,0.909417178802127,1.0,0.961,0.91025,0.861,0.776375,0.688625
Tyquan Thornton,WR,0.8891582006065222,1.0,0.991,0.98075,0.97125,0.951,0.929625
Christian Kirk,WR,0.8891582006065222,1.0,0.992,0.983375,0.974,0.957375,0.9365
Ryan Flournoy,WR,0.8891582006065222,1.0,0.991375,0.983125,0.973,0.954375,0.9345
Dontayvion Wicks,WR,0.8891582006065222,1.0,0.99,0.98175,0.972125,0.953625,0.9325
Kayshon Boutte,WR,0.8891582006065222,1.0,0.992375,0.980125,0.969375,0.953125,0.93225
Brian Robinson Jr.,RB,0.8669171788021272,1.0,0.961375,0.9115,0.87025,0.79025,0.705875
T.J. Hockenson,TE,0.8203295607167924,1.0,0.895125,0.802,0.72225,0.621625,0.534625
Dalton Kincaid,TE,0.7903295607167924,1.0,0.896,0.805125,0.728625,0.629625,0.541125
Ray Davis,RB,0.7094171788021272,1.0,0.968375,0.93075,0.889375,0.821,0.7495
Isiah Pacheco,RB,0.6675374584407916,1.0,0.96825,0.933,0.893375,0.819625,0.750625
Tank Bigsby,RB,0.6675374584407907,1.0,0.968875,0.932625,0.893,0.8305,0.757375
Chris Rodriguez Jr.,RB,0.6675374584407907,1.0,0.968375,0.93225,0.89575,0.828625,0.7565
Keaton Mitchell,RB,0.6675374584407907,1.0,0.970875,0.93375,0.89275,0.82275,0.7565
Alvin Kamara,RB,0.6675374584407907,1.0,0.971375,0.9335,0.892875,0.830625,0.756625
Emari Demercado,RB,0.656917178802128,1.0,0.970875,0.937,0.898875,0.83,0.76
Justice Hill,RB,0.6569171788021271,1.0,0.968875,0.93325,0.8985,0.828375,0.750625
James Conner,RB,0.6569171788021271,1.0,0.966,0.92975,0.8885,0.821125,0.7565
AJ Dillon,RB,0.6569171788021271,1.0,0.971125,0.933125,0.896375,0.829625,0.767
Ty Johnson,RB,0.6569171788021271,1.0,0.967125,0.930375,0.89125,0.823875,0.75525
Kimani Vidal,RB,0.6569171788021271,1.0,0.96725,0.9275,0.886875,0.819,0.755375
Brenton Strange,TE,-1.5803039016704905,1.0,0.99075,0.98225,0.974625,0.962,0.9475
Chig Okonkwo,TE,-2.4644841457792697,1.0,0.996625,0.99325,0.990625,0.985375,0.9795
