pos,stat,kind,n_half,n_yoy,r_half,rho_full,r_yoy,yoy_lo,yoy_hi,admit,gate,window
WR,targets_pg,weekly,1208,762,0.7804908334387257,0.8767142394452386,0.6762151431827859,0.6218753503358034,0.7210080304253309,True,rho_full>=.5 & YoY CI excl 0,2014-2025 (§4 replication)
WR,rec_pg,weekly,1208,762,0.7658021962587093,0.8673703066869568,0.6687968283159129,0.6086508134953925,0.7133790728788458,True,rho_full>=.5 & YoY CI excl 0,2014-2025 (§4 replication)
WR,rec_yards_pg,weekly,1208,762,0.6684107319828251,0.8012544143592883,0.6299041327113372,0.5680838080519324,0.6802185891638252,True,rho_full>=.5 & YoY CI excl 0,2014-2025 (§4 replication)
WR,target_share_full,weekly,1208,762,0.8137048218861559,0.8972847313047847,0.6859037565374752,0.6314568407209725,0.730280650034514,True,rho_full>=.5 & YoY CI excl 0,2014-2025 (§4 replication)
WR,air_yards_share_full,weekly,1208,762,0.7802891604926017,0.8765869925048553,0.6912136391021864,0.6400811498734474,0.7349410909576037,True,rho_full>=.5 & YoY CI excl 0,2014-2025 (§4 replication)
WR,wopr_full,weekly,1208,762,0.8101575509264239,0.8951237979387948,0.6866532806895479,0.6348428756480523,0.7314769532165777,True,rho_full>=.5 & YoY CI excl 0,2014-2025 (§4 replication)
WR,ppr_pg,weekly,1208,762,0.6815362926690286,0.8106114576774981,0.632684155975227,0.5786480379974609,0.67759419943722,True,rho_full>=.5 & YoY CI excl 0,2014-2025 (§4 replication)
WR,ypt,weekly,1208,762,0.1784023148071518,0.30278676911178287,0.21689505279612165,0.13650854339398238,0.28891813357419965,False,rho_full>=.5 & YoY CI excl 0,2014-2025 (§4 replication)
WR,ypr,weekly,1208,762,0.3740605572038045,0.5444600752750125,0.4047206332005733,0.32639605445012654,0.4760558828323309,True,rho_full>=.5 & YoY CI excl 0,2014-2025 (§4 replication)
WR,adot,weekly,1208,762,0.6714154837277444,0.8034094338174873,0.6885312506819036,0.6301731682423811,0.7390842710564811,True,rho_full>=.5 & YoY CI excl 0,2014-2025 (§4 replication)
WR,yac_per_rec,weekly,1208,762,0.3586016009583039,0.527898098611632,0.4335946863749176,0.3324087868974392,0.5233339633851563,True,rho_full>=.5 & YoY CI excl 0,2014-2025 (§4 replication)
WR,td_per_tgt,weekly,1208,762,0.11819899157806193,0.21140958356840087,0.13778872635085013,0.06358728129586791,0.20282858119703218,False,rho_full>=.5 & YoY CI excl 0,2014-2025 (§4 replication)
WR,catch_rate,weekly,1208,762,0.35148744448917235,0.5201490341954684,0.43628366276821184,0.3714750260023398,0.4951676323812864,True,rho_full>=.5 & YoY CI excl 0,2014-2025 (§4 replication)
WR,racr_w,weekly,1208,762,0.4770243192504454,0.6459261544082414,0.40035980227505275,0.15831732453639982,0.6026705830242906,True,rho_full>=.5 & YoY CI excl 0,2014-2025 (§4 replication)
