pos,arm,n,rmse_mu,rmse_arm,d_rmse,mean_gain,dm_t,dm_p,mde80,folds_improved,n_folds,obs_over_mde,gain_vs_mu_cal,p_vs_mu_cal,gain_vs_mu_age,p_vs_mu_age,rmse_theta_mu,rmse_theta_arm,eq7_gain,eq7_p,eq7_mde,eq7_folds,mae_gain,mae_p,spearman
WR,mu_cal,568,3.776007070631069,3.605936575031075,-0.17007049559999388,1.2866122351874267,2.3173826627045857,0.04568112164542336,1.7464173540527017,8,10,0.7367152142652155,0.0,,0.14872764820324874,0.8070556837838737,3.403603515941307,3.3967477948494955,0.04780334684730561,0.8167401190150572,0.6301414602325299,6,0.11249199052540368,0.13710682647721606,0.542041250309014
WR,mu_age_pub,568,3.776007070631069,3.618562766714243,-0.15744430391682585,1.1764206787314424,3.3940253204170965,0.007948224516931758,1.0902991827628643,9,10,1.0789888659279214,-0.11019155645598419,0.8553397123861624,0.03853609174726448,0.5003650998071099,3.403603515941307,3.375630334784321,0.1939685656118898,0.08344449223534732,0.3134671420480481,7,0.10720819665427121,0.004517572651768534,0.5721242073345292
WR,mu_age,568,3.776007070631069,3.6236329715843287,-0.15237409904674015,1.1378845869841778,3.373124407432116,0.008216132127344882,1.0611187055774363,8,10,1.0723442919281754,-0.14872764820324874,0.8070556837838737,0.0,,3.403603515941307,3.3762991874453276,0.18888654599551913,0.10238706857674822,0.32677255230080127,7,0.09430999746072741,0.005800575862038083,0.5716687561960994
WR,mu_cal_x_age_pub,568,3.776007070631069,3.5465610028772283,-0.22944606775384058,1.7288713742632378,2.557973299505755,0.030789332581509586,2.12600749543309,9,10,0.8132009778785133,0.4422591390758111,0.13404432792366167,0.59098678727906,0.3290281954896011,3.403603515941307,3.3892784950315344,0.10260751168010215,0.6908325497734539,0.7856953167887137,5,0.14450455483396502,0.05724419424152996,0.5674520940413291
WR,mu_cal_x_age,568,3.776007070631069,3.553171744832407,-0.22283532579866172,1.679983152765546,2.5162705700810806,0.03296978516397971,2.100127699578923,9,10,0.7999433334946174,0.3933709175781193,0.18038811747509292,0.5420985657813681,0.3611331840287324,3.403603515941307,3.3900862017028692,0.09663517730688528,0.7107747535393831,0.7941405073785899,4,0.1339368161106048,0.07456048473822403,0.5631839831947919
WR,mu_star,568,3.776007070631069,3.548325432998659,-0.22768163763241,1.7111487073899156,3.1482745930615184,0.011770189325856134,1.709673828832247,9,10,1.0008626666284504,0.42453647220248875,0.09667034611439031,0.5732641204057374,0.25392509604806957,3.403603515941307,3.38955784421551,0.10095467176464228,0.6240462161936001,0.6258052599935342,5,0.14982860457127856,0.02883602977116377,0.5695982437031905
WR,mu_star_pub,568,3.776007070631069,3.5416487696733663,-0.2343583009577026,1.7596730816712938,3.2026478604508073,0.010785379916492152,1.7283071069006832,9,10,1.0181483803690758,0.47306084648386726,0.07262968435805844,0.621788494687116,0.22135004343155865,3.403603515941307,3.387900288085028,0.11250293793628767,0.5844491136623233,0.6239206803766763,5,0.15873004171252048,0.02242961813922478,0.5718549964471981
RB,mu_cal,489,4.490909578515818,4.170787806571864,-0.3201217719439535,2.761311262200213,4.513264791472719,0.0014608457986447785,1.9245210460258395,9,10,1.4348043986852501,0.0,,1.4052248456509997,0.14850352634479094,3.7842142879145224,3.742032096229915,0.3169339822970249,0.12020095322308993,0.5807915588109326,7,0.23113941452707296,0.019518168945173178,0.49473399193971657
RB,mu_age_pub,489,4.490909578515818,4.341450185840052,-0.1494593926757659,1.3114977448118428,3.7783138250478583,0.004360309989786737,1.0918617082254913,9,10,1.2011573763707741,-1.4498135173883704,0.13236290633917297,-0.0445886717373704,0.5019848891568344,3.7842142879145224,3.7368010828733356,0.3549311314654696,0.010102984460170343,0.3442209283637851,9,0.11578674022081101,0.04938416622510138,0.5038898973303391
RB,mu_age,489,4.490909578515818,4.33666648076247,-0.15424309775334777,1.3560864165492135,3.696032179186636,0.004950894029937439,1.154116730669631,9,10,1.1749993570948387,-1.4052248456509997,0.14850352634479094,0.0,,3.7842142879145224,3.7387716700622127,0.3403165799143519,0.018130496283806124,0.37148950434965217,8,0.12043260845633849,0.048853144584571205,0.5043838840709522
RB,mu_cal_x_age_pub,489,4.490909578515818,4.077395820470204,-0.41351375804561386,3.513283094665552,7.20789576391029,5.0399845651005035e-05,1.533213953933765,10,10,2.2914499869059544,0.7519718324653393,0.12089745023901999,2.1571966781163394,0.0052693360707396775,3.7842142879145224,3.714505239282984,0.5183647965877922,0.0040967362268779445,0.4269665257672763,8,0.3088928456833394,0.0015014470329542764,0.5101098714180581
RB,mu_cal_x_age,489,4.490909578515818,4.081778605421768,-0.40913097309405,3.48053621094693,6.463685393493385,0.00011626779380017116,1.6938075379896043,10,10,2.0548593230834302,0.7192249487467168,0.1678069505435814,2.1244497943977168,0.007027340816810543,3.7842142879145224,3.717551149219906,0.4962212370462081,0.008971327212631785,0.47045686232879574,7,0.30978386237996663,0.0019964739204842747,0.510038763447292
RB,mu_star,489,4.490909578515818,4.091717104509442,-0.3991924740063757,3.389123339869522,5.526203622775353,0.0003675288875200613,1.9291171672604568,9,10,1.7568260743241546,0.6278120776693092,0.340985184801696,2.033036923320309,0.009943418318502133,3.7842142879145224,3.719930462718656,0.4754225998120745,0.006606671436777103,0.4259205252734221,9,0.26674345356990836,0.005800438297979135,0.5035482465320757
RB,mu_star_pub,489,4.490909578515818,4.07819507445506,-0.4127145040607578,3.4914413573333194,5.635570041746049,0.0003194208350093813,1.9487898765796956,10,10,1.7915945681435488,0.730130095133106,0.2995768206129257,2.1353549407841057,0.006488555277578834,3.7842142879145224,3.7138034586650788,0.5191999866853102,0.00370011552835791,0.42032315390875025,9,0.2762081081793263,0.006108174375727198,0.5099332555689303
