sample,n_games,n_player_seasons,n_clusters,beta1_logatt,se1,b1_lo,b1_hi,beta2_passepa,se2,b2_lo,b2_hi,n_negative_ppr_clipped
primary_2014_2025,20159,2062,6300,0.55043,0.01867,0.51383,0.58702,0.01662,0.00041,0.01581,0.01744,27
window_2021_2025,8570,874,2717,0.53813,0.02712,0.48497,0.59129,0.01693,0.00062,0.01571,0.01815,12
