team,players,implied_TS_each,duo_implied_TS_sum,theta_sum,pct_of_hist_top2_TS_sums,above_p90,above_p95,hist_p90,hist_p95,map_intercept,map_slope
LA,Puka Nacua + Davante Adams,0.315 + 0.245,0.5595949880550479,35.61470214630153,99.73958333333334,True,True,0.4560667227748727,0.476093312372382,-1.308851903800365,1.942251878501122
DET,Amon-Ra St. Brown + Jameson Williams,0.304 + 0.221,0.5245498797154335,32.26148735360491,99.47916666666667,True,True,0.4560667227748727,0.476093312372382,-1.308851903800365,1.942251878501122
CIN,Ja'Marr Chase + Tee Higgins,0.289 + 0.218,0.5072660886699073,34.47362846982212,98.4375,True,True,0.4560667227748727,0.476093312372382,-1.308851903800365,1.942251878501122
DAL,CeeDee Lamb + George Pickens,0.265 + 0.230,0.49490664443169835,32.66521481204724,97.13541666666667,True,True,0.4560667227748727,0.476093312372382,-1.308851903800365,1.942251878501122
CHI,Rome Odunze + Luther Burden III,0.218 + 0.212,0.42964962589556693,25.5585310852207,82.8125,False,False,0.4560667227748727,0.476093312372382,-1.308851903800365,1.942251878501122
DEN,Jaylen Waddle + Courtland Sutton,0.209 + 0.201,0.4103708091156957,26.122746198618216,73.69791666666667,False,False,0.4560667227748727,0.476093312372382,-1.308851903800365,1.942251878501122
