tier,n,tau2_iso,mean_resid,tau2_lo,tau2_hi
rookie,81,13.882089022740635,-0.04270018741185406,9.606070459940211,19.113168316823106
soph,98,15.486705119498701,0.40188906907605115,10.994795473863864,20.50366753666351
vet,394,11.74653700580229,-0.09118379083526108,10.025879663564789,13.410120243292274
