pos,bucket,n,n_in_fit,mean_adp,mean_ppg,p10,p25,p50,p75,p90,P_top12,P_top12_lo,P_top12_hi,P_top24,P_top24_lo,P_top24_hi,P_top36,P_top36_lo,P_top36_hi,P_bust,P_bust_lo,P_bust_hi
WR,"(0, 12]",44,44,6.9840909090909085,18.518596861657358,12.569963235294118,16.341470588235296,18.58155462184874,21.5340625,23.49125,0.7272727272727273,0.581511269075488,0.8365361837615664,0.8409090909090909,0.7063379493775939,0.9207332298779876,0.8863636363636364,0.760208475833917,0.9504721939890751,0.0,0.0,0.0802956037584807
WR,"(12, 24]",57,55,17.935087719298245,15.903136514851754,12.321470588235295,13.890625,15.85,18.046875,19.95735294117647,0.40350877192982454,0.286175155495956,0.5330270757914608,0.7368421052631579,0.6102342073651618,0.8335421340202692,0.8596491228070176,0.746755353906559,0.9271272385676139,0.03508771929824561,0.009675664344932874,0.11920781367625809
WR,"(24, 36]",53,53,29.99056603773585,14.742241152145425,11.073333333333334,13.16,14.58125,16.933333333333334,17.729333333333333,0.32075471698113206,0.21092214079135063,0.45481479850967377,0.660377358490566,0.525947866375483,0.7731296089867582,0.7735849056603774,0.6447372974853895,0.8654536898972573,0.03773584905660377,0.01041028727582683,0.1275428719741836
WR,"(36, 60]",110,105,46.85545454545455,13.74734301255856,9.198461538461538,11.4,13.57,16.21333333333333,18.015428571428576,0.24545454545454545,0.17452424584719223,0.3335635757591459,0.45454545454545453,0.3645991214526058,0.5475594181199545,0.6090909090909091,0.5156993628097574,0.6951201422160979,0.07272727272727272,0.03731042070659472,0.13697985127547285
WR,"(60, 84]",87,81,70.91954022988503,12.518471653820239,8.65625,9.807692307692308,12.177777777777775,15.185714285714283,17.285,0.10344827586206896,0.05538511033788454,0.1850498089626247,0.2413793103448276,0.16364163157594575,0.34098983753308204,0.40229885057471265,0.3055081892296069,0.5073525879893592,0.13793103448275862,0.080697782912214,0.22578627384042485
WR,"(84, 110]",106,105,96.89056603773585,10.741089720425855,6.254,8.157142857142857,10.653846153846152,13.491666666666667,14.954903846153847,0.03773584905660377,0.014770847100615575,0.093034156108821,0.18867924528301888,0.12559299901393334,0.27354098273936067,0.330188679245283,0.247979912995538,0.4242749861426224,0.24528301886792453,0.1732375678573448,0.33514478084989585
WR,"(110, 145]",121,113,126.96198347107436,10.324114120912924,6.332727272727273,7.673333333333333,9.96,12.642857142857142,14.615238095238094,0.03305785123966942,0.012929181394125307,0.08192279272211475,0.14049586776859505,0.0896053168714549,0.2135108047932609,0.2727272727272727,0.20128474291731482,0.358156483422448,0.3305785123966942,0.2531078675945836,0.4184755920405123
RB,"(0, 12]",71,66,6.145070422535211,17.816201097995886,13.044155844155846,14.445,16.81857142857143,21.250882352941176,24.120535714285715,0.5915492957746479,0.47538781849423417,0.6983126973007014,0.8169014084507042,0.7115182772560875,0.8897527389571511,0.8309859154929577,0.7274087200136651,0.9005854524757174,0.07042253521126761,0.03045360243971091,0.15449013113789914
RB,"(12, 24]",52,49,17.867307692307694,15.439464903843655,10.615,12.48125,14.623529411764704,17.688235294117646,20.086476190476194,0.46153846153846156,0.33340474681756815,0.5949638867304213,0.7307692307692307,0.5974778016637287,0.8323103970483349,0.8461538461538461,0.7247591482358985,0.9199231498321968,0.057692307692307696,0.019814172112270614,0.15642511368960765
RB,"(24, 36]",50,49,30.744,13.66261848445672,10.384,11.5,14.6125,15.65,16.872666666666667,0.38,0.2586278931019359,0.5184955306900701,0.64,0.5014101687611268,0.7586125034815325,0.82,0.692039463256992,0.902298073297658,0.06,0.020614970348973943,0.16217091688838173
RB,"(36, 60]",82,79,48.46219512195122,11.77149793441026,7.268000000000001,9.114772727272726,12.052941176470588,13.709375,16.571932773109246,0.14634146341463414,0.0857416221023058,0.2385941848980091,0.4024390243902439,0.3029744315621252,0.5106354462310653,0.5609756097560976,0.4532292110128184,0.6632646153664378,0.18292682926829268,0.1141102185364291,0.2801218842914394
RB,"(60, 84]",84,79,72.5702380952381,10.768459933795004,6.204285714285715,8.202051282051283,10.91764705882353,12.895833333333334,15.210714285714285,0.08333333333333333,0.04095255062240714,0.1621572230564761,0.2857142857142857,0.2001503412161277,0.39002039953301215,0.5595238095238095,0.45307101720468923,0.6607704436983275,0.27380952380952384,0.18992825695769275,0.37747419161084395
RB,"(84, 110]",89,86,96.03483146067414,9.348850322044576,4.190909090909091,6.684548611111111,9.130625,11.316964285714285,14.588750000000001,0.056179775280898875,0.024232878420720097,0.12485416735078496,0.20224719101123595,0.13193782732624643,0.2971965198369152,0.38202247191011235,0.2879491474996802,0.4858588013762895,0.39325842696629215,0.29821544438248115,0.49713460460053904
RB,"(110, 145]",99,93,125.25959595959597,8.119797650694236,3.4737662337662343,5.208333333333333,7.814285714285715,10.133333333333333,13.226588235294118,0.050505050505050504,0.021763234491416858,0.11282702686248859,0.1414141414141414,0.08614485607449508,0.22347209399435086,0.26262626262626265,0.185981496830867,0.35700437152456627,0.5555555555555556,0.4574214280657185,0.6495393261489675
