name,position,team,adp_aug18,stdev,times_drafted,k,adp_jul,team_jul,adp_aug08,espn_rank,d_jul_aug18,ffc_rank,espn_gap,team_change
Rashod Bateman,WR,BAL,146.1,15.7,43.0,rashod bateman,155.2,BAL,148.2,213.0,-9.099999999999994,162.0,-51.0,False
Ray Davis,RB,BUF,165.6,19.5,17.0,ray davis,,,161.4,220.0,,225.0,5.0,False
Rhamondre Stevenson,RB,NE,71.3,7.1,446.0,rhamondre stevenson,70.7,NE,72.2,70.0,0.5999999999999943,71.0,1.0,False
Ricky Pearsall,WR,SF,112.3,6.6,18.0,ricky pearsall,103.1,SF,118.3,,9.200000000000003,115.0,,False
Rico Dowdle,RB,PIT,75.4,9.1,388.0,rico dowdle,77.9,PIT,71.3,118.0,-2.5,76.5,-41.5,False
RJ Harvey,RB,DEN,83.9,9.0,491.0,rj harvey,88.9,DEN,83.1,152.0,-5.0,86.5,-65.5,False
Rome Odunze,WR,CHI,49.1,5.2,806.0,rome odunze,54.9,CHI,49.7,49.0,-5.799999999999997,49.0,0.0,False
Romeo Doubs,WR,NE,111.7,9.7,384.0,romeo doubs,99.9,NE,111.1,159.0,11.799999999999997,114.0,-45.0,False
Ryan Flournoy,WR,DAL,166.3,14.1,15.0,ryan flournoy,,,176.7,289.0,,231.0,-58.0,False
Sam Darnold,QB,SEA,143.3,11.6,100.0,sam darnold,147.7,SEA,140.1,280.0,-4.399999999999977,155.0,-125.0,False
Sam LaPorta,TE,DET,86.7,13.9,583.0,sam laporta,69.7,DET,87.6,80.0,17.0,89.0,9.0,False
Samaje Perine,RB,CIN,172.9,16.7,7.0,samaje perine,,,165.1,321.0,,255.0,-66.0,False
San Francisco Defense,DEF,SF,156.8,65.6,9.0,san francisco defense,,,171.1,,,192.0,,False
Saquon Barkley,RB,PHI,20.2,3.6,2155.0,saquon barkley,19.6,PHI,18.7,18.0,0.5999999999999979,20.0,2.0,False
Seattle Defense,DEF,SEA,88.0,12.2,164.0,seattle defense,97.4,SEA,101.0,,-9.400000000000006,90.0,,False
Stefon Diggs,WR,WAS,93.7,9.9,948.0,stefon diggs,,,88.1,154.0,,98.0,-56.0,False
T.J. Hockenson,TE,MIN,167.1,21.5,53.0,t j hockenson,153.4,MIN,153.1,138.0,13.699999999999989,234.0,96.0,False
Tank Bigsby,RB,PHI,164.1,20.4,94.0,tank bigsby,146.4,PHI,155.6,206.0,17.69999999999999,220.5,14.5,False
Tank Dell,WR,HOU,156.6,15.0,191.0,tank dell,161.9,HOU,153.1,285.0,-5.300000000000011,190.5,-94.5,False
Tee Higgins,WR,CIN,36.0,4.5,726.0,tee higgins,26.4,CIN,39.2,47.0,9.600000000000001,37.0,-10.0,False
Tennessee Defense,DEF,TEN,168.0,16.4,66.0,tennessee defense,,,159.7,,,237.0,,False
Terrance Ferguson,TE,LAR,176.7,12.9,7.0,terrance ferguson,,,,207.0,,260.0,53.0,False
Terry McLaurin,WR,WAS,46.2,4.6,725.0,terry mclaurin,36.6,WAS,42.6,46.0,9.600000000000001,47.5,1.5,False
Tetairoa McMillan,WR,CAR,33.4,3.6,569.0,tetairoa mcmillan,33.4,CAR,33.9,33.0,0.0,35.0,2.0,False
Theo Wease Jr.,WR,MIA,138.0,10.3,43.0,theo wease,,,136.5,,,146.5,,False
Tony Pollard,RB,TEN,67.2,7.5,297.0,tony pollard,73.3,TEN,63.5,119.0,-6.099999999999994,70.0,-49.0,False
Travis Etienne Jr.,RB,NO,41.9,5.3,493.0,travis etienne,38.8,NO,37.1,38.0,3.1000000000000014,43.0,5.0,False
Travis Hunter,WR,JAX,159.3,27.9,61.0,travis hunter,155.6,JAX,163.8,109.0,3.700000000000017,200.5,91.5,False
Travis Kelce,TE,KC,107.7,21.4,245.0,travis kelce,99.1,KC,99.6,127.0,8.600000000000009,111.0,-16.0,False
Tre' Harris,WR,LAC,166.2,21.5,20.0,tre harris,176.7,LAC,,287.0,-10.5,230.0,-57.0,False
Tre Tucker,WR,LV,132.9,9.3,179.0,tre tucker,136.9,LV,136.2,199.0,-4.0,140.0,-59.0,False
TreVeyon Henderson,RB,NE,60.3,6.8,589.0,treveyon henderson,59.2,NE,55.7,69.0,1.0999999999999943,61.0,-8.0,False
Trevor Lawrence,QB,JAX,92.9,12.9,855.0,trevor lawrence,83.4,JAX,90.4,93.0,9.5,97.0,4.0,False
Trey McBride,TE,ARI,30.2,5.8,878.0,trey mcbride,29.0,ARI,35.3,17.0,1.1999999999999993,31.0,14.0,False
Trey Smack,PK,GB,161.0,16.9,13.0,trey smack,161.1,GB,,410.0,-0.09999999999999432,204.0,-206.0,False
Tucker Kraft,TE,GB,102.6,19.6,959.0,tucker kraft,72.2,GB,110.6,124.0,30.39999999999999,106.0,-18.0,False
Ty Johnson,RB,BUF,149.7,39.3,14.0,ty johnson,,,167.0,324.0,,167.0,-157.0,False
Tyjae Spears,RB,TEN,133.5,16.9,90.0,tyjae spears,138.4,TEN,126.9,177.0,-4.900000000000006,142.0,-35.0,False
Tyler Allgeier,RB,ARI,163.3,20.7,119.0,tyler allgeier,167.5,ARI,161.4,200.0,-4.199999999999989,217.0,17.0,False
Tyler Bass,PK,BUF,163.6,22.5,14.0,tyler bass,,,171.7,,,218.0,,False
Tyler Loop,PK,BAL,156.0,15.9,151.0,tyler loop,152.7,BAL,159.4,255.0,3.3000000000000114,187.0,-68.0,False
Tyler Shough,QB,NO,136.4,9.3,232.0,tyler shough,143.9,NO,136.7,167.0,-7.5,144.0,-23.0,False
Tyler Warren,TE,IND,64.2,9.4,1397.0,tyler warren,54.9,IND,65.8,51.0,9.300000000000004,65.0,14.0,False
Tyrone Tracy Jr.,RB,NYG,151.4,16.1,219.0,tyrone tracy,156.8,NYG,156.1,181.0,-5.400000000000006,172.5,-8.5,False
Wan'Dale Robinson,WR,TEN,83.9,10.0,539.0,wandale robinson,88.2,TEN,70.9,106.0,-4.299999999999997,86.5,-19.5,False
Washington Defense,DEF,WAS,196.9,18.2,9.0,washington defense,168.0,WAS,172.0,,28.900000000000006,265.0,,False
Wil Lutz,PK,DEN,161.9,17.8,127.0,wil lutz,,,169.9,,,210.0,,False
Will Reichard,PK,MIN,159.2,18.5,87.0,will reichard,150.3,MIN,165.3,259.0,8.899999999999977,198.5,-60.5,False
Woody Marks,RB,HOU,150.7,15.2,146.0,woody marks,140.9,HOU,144.7,153.0,9.799999999999983,170.0,17.0,False
Xavier Legette,WR,CAR,190.0,16.9,6.0,xavier legette,,,,322.0,,263.0,-59.0,False
Xavier Worthy,WR,KC,106.6,8.8,492.0,xavier worthy,97.8,KC,104.4,139.0,8.799999999999997,110.0,-29.0,False
Zach Charbonnet,RB,SEA,138.7,17.1,503.0,zach charbonnet,156.0,SEA,139.1,175.0,-17.30000000000001,148.0,-27.0,False
Zachariah Branch,WR,ATL,170.2,7.4,8.0,zachariah branch,,,172.5,293.0,,242.5,-50.5,False
Zay Flowers,WR,BAL,24.4,3.1,293.0,zay flowers,25.4,BAL,26.6,34.0,-1.0,25.0,-9.0,False
