name,position,team,adp_aug18,stdev,times_drafted,k,adp_jul,team_jul,adp_aug08,espn_rank,d_jul_aug18,ffc_rank,espn_gap,team_change
Chris Boswell,PK,PIT,156.4,15.9,39.0,chris boswell,,,172.5,338.0,,188.0,-150.0,False
Chris Godwin Jr.,WR,TB,82.4,9.5,958.0,chris godwin,78.5,TB,88.1,158.0,3.9000000000000057,84.0,-74.0,False
Chris Olave,WR,NO,21.9,3.1,370.0,chris olave,21.2,NO,20.1,26.0,0.6999999999999993,23.0,-3.0,False
Chris Rodriguez Jr.,RB,JAX,159.3,20.2,201.0,chris rodriguez,160.7,JAX,160.6,180.0,-1.3999999999999773,200.5,20.5,False
Christian McCaffrey,RB,SF,6.5,1.6,1268.0,christian mccaffrey,4.8,SF,5.3,6.0,1.7000000000000002,7.0,1.0,False
Christian Watson,WR,GB,61.1,8.5,1450.0,christian watson,60.1,GB,68.7,88.0,1.0,62.0,-26.0,False
Chuba Hubbard,RB,CAR,75.4,8.6,256.0,chuba hubbard,80.9,CAR,74.7,122.0,-5.5,76.5,-45.5,False
Cincinnati Defense,DEF,CIN,175.0,23.6,34.0,cincinnati defense,,,174.0,,,259.0,,False
Cleveland Defense,DEF,CLE,165.3,14.6,193.0,cleveland defense,,,177.6,,,224.0,,False
Colston Loveland,TE,CHI,57.0,9.0,1335.0,colston loveland,45.0,CHI,60.8,50.0,12.0,57.0,7.0,False
Cooper Kupp,WR,SEA,153.8,22.1,128.0,cooper kupp,166.9,SEA,159.7,305.0,-13.099999999999994,181.0,-124.0,False
Courtland Sutton,WR,DEN,61.2,6.6,530.0,courtland sutton,74.5,DEN,59.8,72.0,-13.299999999999997,63.0,-9.0,False
Cyrus Allen,WR,KC,152.7,23.5,14.0,cyrus allen,,,166.3,,,178.0,,False
Dak Prescott,QB,DAL,65.4,8.7,408.0,dak prescott,61.6,DAL,67.3,95.0,3.8000000000000043,67.5,-27.5,False
Dallas Defense,DEF,DAL,166.9,16.8,48.0,dallas defense,,,167.1,,,233.0,,False
Dallas Goedert,TE,PHI,116.3,18.5,304.0,dallas goedert,122.0,PHI,105.3,126.0,-5.700000000000003,123.0,-3.0,False
Dalton Kincaid,TE,BUF,151.9,17.2,301.0,dalton kincaid,133.0,BUF,153.4,146.0,18.900000000000006,177.0,31.0,False
Dalton Schultz,TE,HOU,157.4,30.3,23.0,dalton schultz,169.6,HOU,157.6,297.0,-12.199999999999989,195.0,-102.0,False
D'Andre Swift,RB,CHI,46.2,4.5,703.0,dandre swift,48.0,CHI,44.4,65.0,-1.7999999999999972,47.5,-17.5,False
Daniel Jones,QB,IND,156.5,16.5,169.0,daniel jones,167.5,IND,158.5,173.0,-11.0,189.0,16.0,False
Darius Slayton,WR,NYG,174.9,15.9,9.0,darius slayton,,,,327.0,,258.0,-69.0,False
Davante Adams,WR,LAR,41.2,4.4,586.0,davante adams,40.0,LAR,41.2,44.0,1.2000000000000028,42.0,-2.0,False
David Montgomery,RB,HOU,59.0,7.7,1134.0,david montgomery,56.4,HOU,63.6,67.0,2.6000000000000014,60.0,-7.0,False
Deebo Samuel Sr.,WR,SF,110.8,10.8,485.0,deebo samuel,,,97.7,141.0,,113.0,-28.0,False
Denver Defense,DEF,DEN,88.9,8.5,321.0,denver defense,102.6,DEN,94.3,,-13.699999999999989,92.0,,False
Denzel Boston,WR,CLE,144.9,15.0,216.0,denzel boston,135.7,CLE,154.9,183.0,9.200000000000017,161.0,-22.0,False
Derrick Henry,RB,BAL,17.4,2.7,830.0,derrick henry,15.4,BAL,16.1,19.0,1.9999999999999982,18.0,-1.0,False
Detroit Defense,DEF,DET,132.2,14.9,96.0,detroit defense,143.6,DET,127.3,,-11.400000000000006,139.0,,False
De'Von Achane,RB,MIA,10.2,1.9,690.0,devon achane,9.0,MIA,9.4,10.0,1.1999999999999993,9.5,-0.5,False
DeVonta Smith,WR,PHI,28.4,3.6,986.0,devonta smith,28.5,PHI,29.1,35.0,-0.10000000000000142,28.0,-7.0,False
De'Zhaun Stribling,WR,SF,149.3,16.4,601.0,dezhaun stribling,,,156.9,160.0,,166.0,6.0,False
DJ Moore,WR,BUF,50.3,6.1,1712.0,dj moore,66.8,BUF,51.3,53.0,-16.5,51.0,-2.0,False
DK Metcalf,WR,PIT,64.9,7.3,672.0,dk metcalf,56.2,PIT,65.1,76.0,8.700000000000003,66.0,-10.0,False
Dontayvion Wicks,WR,PHI,171.7,15.7,112.0,dontayvion wicks,,,174.3,215.0,,247.5,32.5,False
Drake London,WR,ATL,10.2,1.6,244.0,drake london,12.6,ATL,10.6,14.0,-2.4000000000000004,9.5,-4.5,False
Drake Maye,QB,NE,50.1,6.6,380.0,drake maye,64.8,NE,49.6,60.0,-14.699999999999996,50.0,-10.0,False
Dylan Sampson,RB,CLE,160.8,17.0,62.0,dylan sampson,,,164.1,221.0,,202.0,-19.0,False
Eddy Piñeiro,PK,SF,161.9,16.1,48.0,eddy pieiro,145.4,SF,157.4,,16.5,210.0,,False
Emari Demercado,RB,KC,153.6,21.6,10.0,emari demercado,,,164.4,353.0,,180.0,-173.0,False
Emeka Egbuka,WR,TB,37.1,5.1,1937.0,emeka egbuka,45.5,TB,33.7,43.0,-8.399999999999999,39.0,-4.0,False
Evan McPherson,PK,CIN,170.3,16.6,85.0,evan mcpherson,165.3,CIN,165.9,363.0,5.0,244.0,-119.0,False
Fernando Mendoza,QB,LV,156.6,21.1,18.0,fernando mendoza,,,168.6,383.0,,190.5,-192.5,False
Garrett Wilson,WR,NYJ,27.2,3.3,273.0,garrett wilson,27.0,NYJ,28.5,27.0,0.1999999999999993,26.0,-1.0,False
George Kittle,TE,SF,115.3,18.5,616.0,george kittle,105.9,SF,121.0,125.0,9.399999999999991,122.0,-3.0,False
George Pickens,WR,DAL,19.6,2.7,495.0,george pickens,17.4,DAL,21.6,32.0,2.200000000000003,19.0,-13.0,False
Germie Bernard,WR,PIT,171.5,13.9,31.0,germie bernard,161.3,PIT,164.9,270.0,10.199999999999989,246.0,-24.0,False
Green Bay Defense,DEF,GB,158.1,14.5,15.0,green bay defense,142.6,GB,,,15.5,196.0,,False
Greg Dulcich,TE,MIA,171.8,20.7,32.0,greg dulcich,,,174.0,365.0,,249.0,-116.0,False
Harold Fannin Jr.,TE,CLE,78.2,8.0,176.0,harold fannin,69.1,CLE,81.5,79.0,9.100000000000009,79.0,0.0,False
Harrison Butker,PK,KC,160.9,16.8,128.0,harrison butker,156.4,KC,162.7,249.0,4.5,203.0,-46.0,False
Harrison Mevis,PK,LAR,153.3,14.2,81.0,harrison mevis,142.7,LAR,152.4,243.0,10.600000000000023,179.0,-64.0,False
Houston Defense,DEF,HOU,97.4,10.8,580.0,houston defense,108.4,HOU,106.9,,-11.0,100.0,,False
Hunter Henry,TE,NE,157.1,17.8,81.0,hunter henry,153.4,NE,158.1,148.0,3.6999999999999886,193.0,45.0,False
Isaac TeSlaa,WR,DET,178.9,25.6,17.0,isaac teslaa,175.4,DET,163.0,357.0,3.5,262.0,-95.0,False
Isaiah Likely,TE,NYG,136.2,17.8,1115.0,isaiah likely,139.1,NYG,139.2,145.0,-2.9000000000000057,143.0,-2.0,False
Isiah Pacheco,RB,DET,154.4,19.8,197.0,isiah pacheco,152.7,DET,148.9,204.0,1.700000000000017,183.0,-21.0,False
J.K. Dobbins,RB,DEN,98.3,12.5,705.0,j k dobbins,94.7,DEN,91.4,129.0,3.5999999999999943,101.0,-28.0,False
Jacksonville Defense,DEF,JAX,154.5,14.8,445.0,jacksonville defense,127.7,JAX,169.6,,26.799999999999997,184.0,,False
Jacoby Brissett,QB,ARI,165.7,17.9,25.0,jacoby brissett,,,162.6,317.0,,227.0,-90.0,False
Jacory Croskey-Merritt,RB,WAS,117.0,15.2,695.0,jacory croskey merritt,121.7,WAS,113.3,132.0,-4.700000000000003,125.0,-7.0,False
Jadarian Price,RB,SEA,82.1,13.1,2274.0,jadarian price,75.5,SEA,64.5,68.0,6.599999999999994,83.0,15.0,False
Jahmyr Gibbs,RB,DET,1.8,0.7,1370.0,jahmyr gibbs,2.0,DET,1.6,1.0,-0.19999999999999996,2.0,1.0,False
Jake Bates,PK,DET,147.0,20.7,161.0,jake bates,142.7,DET,145.5,252.0,4.300000000000011,163.0,-89.0,False
Jake Elliott,PK,PHI,144.8,40.9,6.0,jake elliott,,,,411.0,,160.0,-251.0,False
Jake Ferguson,TE,DAL,133.0,18.2,379.0,jake ferguson,116.5,DAL,141.1,134.0,16.5,141.0,7.0,False
Ja'Kobi Lane,WR,BAL,162.4,15.6,42.0,jakobi lane,,,146.4,214.0,,213.0,-1.0,False
Jakobi Meyers,WR,JAX,86.1,9.5,309.0,jakobi meyers,98.3,JAX,76.1,92.0,-12.200000000000003,88.0,-4.0,False
Jalen Coker,WR,CAR,121.8,10.1,302.0,jalen coker,113.9,CAR,126.1,163.0,7.8999999999999915,126.0,-37.0,False
Jalen Hurts,QB,PHI,79.6,11.1,614.0,jalen hurts,94.9,PHI,74.6,62.0,-15.300000000000011,81.0,19.0,False
Jalen McMillan,WR,TB,139.8,15.6,139.0,jalen mcmillan,143.3,TB,143.8,188.0,-3.5,149.0,-39.0,False
Jalen Nailor,WR,LV,151.7,12.0,121.0,jalen nailor,132.2,LV,159.5,212.0,19.5,175.5,-36.5,False
Jalen Tolbert,WR,MIA,168.7,11.8,6.0,jalen tolbert,,,,328.0,,238.0,-90.0,False
Ja'Marr Chase,WR,CIN,3.9,1.0,1629.0,jamarr chase,3.9,CIN,3.9,3.0,0.0,4.0,1.0,False
James Conner,RB,ARI,163.0,29.0,21.0,james conner,,,163.1,352.0,,216.0,-136.0,False
James Cook III,RB,BUF,12.7,3.0,1956.0,james cook,13.8,BUF,15.1,12.0,-1.1000000000000014,13.0,1.0,False
Jameson Williams,WR,DET,44.0,4.3,397.0,jameson williams,47.2,DET,45.8,52.0,-3.200000000000003,44.0,-8.0,False
Jared Goff,QB,DET,104.0,13.9,440.0,jared goff,91.8,DET,105.4,171.0,12.200000000000003,107.0,-64.0,False
Jason Myers,PK,SEA,142.1,16.7,171.0,jason myers,133.9,SEA,133.9,242.0,8.199999999999989,152.0,-90.0,False
Jauan Jennings,WR,MIN,143.5,10.9,60.0,jauan jennings,130.5,MIN,140.9,283.0,13.0,156.5,-126.5,False
Javonte Williams,RB,DAL,37.9,4.9,1186.0,javonte williams,35.0,DAL,36.7,31.0,2.8999999999999986,40.0,9.0,False
Jaxon Smith-Njigba,WR,SEA,5.4,1.1,803.0,jaxon smith njigba,6.1,SEA,5.9,5.0,-0.6999999999999993,5.0,0.0,False
Jaxson Dart,QB,NYG,114.5,14.9,391.0,jaxson dart,116.4,NYG,104.3,85.0,-1.9000000000000057,121.0,36.0,False
Jayden Daniels,QB,WAS,72.6,9.9,545.0,jayden daniels,87.2,WAS,71.3,56.0,-14.600000000000009,72.5,16.5,False
Jayden Higgins,WR,HOU,128.0,11.4,423.0,jayden higgins,119.5,HOU,135.6,162.0,8.5,132.0,-30.0,False
Jayden Reed,WR,GB,92.8,8.7,355.0,jayden reed,85.1,GB,92.5,111.0,7.700000000000003,96.0,-15.0,False
Jaydon Blue,RB,DAL,167.5,7.9,8.0,jaydon blue,,,160.2,340.0,,235.0,-105.0,False
Jaylen Waddle,WR,DEN,45.5,5.4,1367.0,jaylen waddle,42.2,DEN,48.8,48.0,3.299999999999997,45.0,-3.0,False
Jaylen Warren,RB,PIT,63.1,6.2,189.0,jaylen warren,66.0,PIT,67.2,117.0,-2.8999999999999986,64.0,-53.0,False
Jeremiyah Love,RB,ARI,28.9,4.3,690.0,jeremiyah love,22.1,ARI,25.6,15.0,6.799999999999997,29.0,14.0,False
Jerry Jeudy,WR,CLE,130.2,14.0,187.0,jerry jeudy,138.1,CLE,133.6,184.0,-7.900000000000006,136.5,-47.5,False
Joe Burrow,QB,CIN,55.8,7.9,553.0,joe burrow,46.9,CIN,57.8,81.0,8.899999999999999,55.0,-26.0,False
Joey Slye,PK,TEN,148.0,0.0,8.0,joey slye,,,,,,164.0,,False
John Metchie III,WR,CAR,123.0,11.6,22.0,john metchie,,,116.3,,,128.0,,False
Jonah Coleman,RB,DEN,162.4,15.6,24.0,jonah coleman,,,,205.0,,213.0,8.0,False
Jonathan Taylor,RB,IND,7.4,1.8,1425.0,jonathan taylor,7.5,IND,7.5,7.0,-0.09999999999999964,8.0,1.0,False
Jonathon Brooks,RB,CAR,108.1,15.8,1840.0,jonathon brooks,128.2,CAR,112.2,121.0,-20.099999999999994,112.0,-9.0,False
Jordan Addison,WR,MIN,99.4,8.8,480.0,jordan addison,92.6,MIN,102.8,108.0,6.800000000000011,102.5,-5.5,False
Jordan James,RB,SF,165.7,9.2,6.0,jordan james,,,166.3,306.0,,227.0,-79.0,False
Jordan Love,QB,GB,143.1,12.5,240.0,jordan love,131.6,GB,148.4,273.0,11.5,154.0,-119.0,False
Jordan Mason,RB,MIN,123.1,15.0,1046.0,jordan mason,130.6,MIN,122.3,150.0,-7.5,129.0,-21.0,False
Jordyn Tyson,WR,NO,96.9,10.6,707.0,jordyn tyson,84.1,NO,85.6,198.0,12.800000000000011,99.0,-99.0,False
Josh Allen,QB,BUF,31.4,8.1,1319.0,josh allen,28.8,BUF,26.7,36.0,2.599999999999998,33.0,-3.0,False
Josh Downs,WR,IND,83.0,8.7,927.0,josh downs,85.7,IND,92.4,107.0,-2.700000000000003,85.0,-22.0,False
Josh Jacobs,RB,GB,31.1,4.4,540.0,josh jacobs,28.7,GB,24.6,30.0,2.400000000000002,32.0,2.0,False
Justice Hill,RB,BAL,165.9,17.5,17.0,justice hill,,,163.6,265.0,,229.0,-36.0,False
Justin Herbert,QB,LAC,105.5,14.1,1215.0,justin herbert,74.5,LAC,108.5,112.0,31.0,108.0,-4.0,False
Justin Jefferson,WR,MIN,12.4,2.7,1065.0,justin jefferson,10.0,MIN,13.3,11.0,2.4000000000000004,12.0,1.0,False
Juwan Johnson,TE,NO,149.2,25.5,83.0,juwan johnson,144.1,NO,160.3,210.0,5.099999999999994,165.0,-45.0,False
Kaden Wetjen,WR,PIT,173.8,3.6,9.0,kaden wetjen,,,,,,257.0,,False
Kaelon Black,RB,SF,151.7,21.5,12.0,kaelon black,,,161.0,307.0,,175.5,-131.5,False
Ka'imi Fairbairn,PK,HOU,142.7,18.9,104.0,kaimi fairbairn,133.6,HOU,138.1,246.0,9.099999999999994,153.0,-93.0,False
Kansas City Defense,DEF,KC,170.6,27.8,9.0,kansas city defense,,,174.0,,,245.0,,False
Kayshon Boutte,WR,NE,170.1,17.6,49.0,kayshon boutte,,,169.6,302.0,,240.5,-61.5,False
KC Concepcion,WR,CLE,125.1,10.7,662.0,kc concepcion,120.4,CLE,129.2,157.0,4.699999999999989,130.0,-27.0,False
Keaton Mitchell,RB,LAC,164.3,29.2,75.0,keaton mitchell,161.7,LAC,157.1,202.0,2.6000000000000227,222.0,20.0,False
Kenneth Walker,RB,KC,23.4,3.9,1933.0,kenneth walker,22.6,KC,26.5,21.0,0.7999999999999972,24.0,3.0,False
Kenny Gainwell,RB,TB,89.5,10.7,535.0,kenny gainwell,101.2,TB,89.6,120.0,-11.700000000000003,93.0,-27.0,False
Kenyon Sadiq,TE,NYJ,170.1,17.2,24.0,kenyon sadiq,162.5,NYJ,159.6,147.0,7.599999999999994,240.5,93.5,False
Khalil Shakir,WR,BUF,100.7,8.9,259.0,khalil shakir,100.9,BUF,101.1,110.0,-0.20000000000000284,105.0,-5.0,False
Kimani Vidal,RB,LAC,154.3,25.4,9.0,kimani vidal,,,172.2,308.0,,182.0,-126.0,False
Kyle Monangai,RB,CHI,113.8,15.1,727.0,kyle monangai,105.2,CHI,100.1,131.0,8.599999999999994,119.0,-12.0,False
Kyle Pitts Sr.,TE,ATL,77.2,8.3,328.0,kyle pitts,86.8,ATL,78.5,78.0,-9.599999999999994,78.0,0.0,False
Kyler Murray,QB,MIN,136.5,13.8,497.0,kyler murray,150.3,MIN,145.0,165.0,-13.800000000000011,145.0,-20.0,False
Kyren Williams,RB,LAR,31.9,4.3,1006.0,kyren williams,32.7,LAR,32.2,39.0,-0.8000000000000043,34.0,-5.0,False
LA Chargers Defense,DEF,LAC,144.5,14.7,619.0,la chargers defense,158.8,LAC,145.5,,-14.300000000000011,158.0,,False
LA Rams Defense,DEF,LAR,112.7,17.7,620.0,la rams defense,106.9,LAR,135.4,,5.799999999999997,116.5,,False
Ladd McConkey,WR,LAC,39.0,5.2,1569.0,ladd mcconkey,35.3,LAC,44.2,45.0,3.700000000000003,41.0,-4.0,False
Lamar Jackson,QB,BAL,55.9,7.7,645.0,lamar jackson,54.7,BAL,52.8,58.0,1.1999999999999957,56.0,-2.0,False
Luther Burden III,WR,CHI,58.5,7.4,1134.0,luther burden,45.2,CHI,53.4,54.0,13.299999999999997,58.0,4.0,False
Makai Lemon,WR,PHI,112.7,9.8,599.0,makai lemon,107.7,PHI,106.4,156.0,5.0,116.5,-39.5,False
Malik Nabers,WR,NYG,27.8,4.1,1446.0,malik nabers,43.6,NYG,33.9,29.0,-15.8,27.0,-2.0,False
Malik Washington,WR,MIA,151.4,15.6,224.0,malik washington,156.6,MIA,155.7,304.0,-5.199999999999989,172.5,-131.5,False
Malik Willis,QB,MIA,161.8,11.9,175.0,malik willis,163.9,MIA,159.9,195.0,-2.0999999999999943,208.0,13.0,False
Mark Andrews,TE,BAL,131.7,19.0,357.0,mark andrews,128.1,BAL,138.6,135.0,3.5999999999999943,138.0,3.0,False
MarShawn Lloyd,RB,GB,165.1,19.2,26.0,marshawn lloyd,,,,269.0,,223.0,-46.0,False
Marvin Harrison Jr.,WR,ARI,65.4,7.6,897.0,marvin harrison,66.1,ARI,63.9,75.0,-0.6999999999999886,67.5,-7.5,False
Matthew Golden,WR,GB,114.2,11.5,575.0,matthew golden,112.6,GB,119.9,89.0,1.6000000000000085,120.0,31.0,False
Matthew Stafford,QB,LAR,79.8,12.6,370.0,matthew stafford,103.0,LAR,83.6,102.0,-23.200000000000003,82.0,-20.0,False
Miami Defense,DEF,MIA,173.4,9.0,5.0,miami defense,,,183.0,,,256.0,,False
Michael Pittman Jr.,WR,PIT,74.0,7.6,707.0,michael pittman,70.8,PIT,72.2,73.0,3.200000000000003,74.5,1.5,False
