position,era,n,peak,peak_lo,peak_hi,cliff,cliff_lo,cliff_hi,slope28_32,slope_lo,slope_hi
WR,1999-2007,765,25.700000000000067,25.30000000000006,29.60250000000012,30.80000000000014,27.097500000000085,32.60250000000016,-0.027873300267329232,-0.04959295435069065,-0.0024982972916259847
WR,2008-2016,765,24.000000000000043,21.300000000000004,27.45250000000009,29.55000000000012,27.500000000000092,30.553750000000132,-0.05981767438206573,-0.0808648298846265,-0.03746779744045266
WR,2017-2025,765,25.30000000000006,24.150000000000045,26.60125000000008,28.350000000000104,27.200000000000088,29.55000000000012,-0.06791077354207253,-0.09356523654061832,-0.04733823520446804
RB,1999-2007,585,25.650000000000066,21.450000000000006,26.75000000000008,28.200000000000102,22.100000000000016,29.60125000000012,-0.10999911704527662,-0.16802228752771933,-0.06371279543241151
RB,2008-2016,585,24.850000000000055,23.650000000000038,26.60125000000008,27.900000000000098,25.800000000000068,30.452500000000136,-0.04712733194821042,-0.08497403112005186,-0.006615232957834686
RB,2017-2025,585,23.80000000000004,21.250000000000004,26.300000000000075,27.25000000000009,24.54750000000005,28.0500000000001,-0.0816175218506403,-0.11115678235121157,-0.033384548498602166
