tag,game_noise,strategy,E_lineup_ppg,sd_outcome,se_level,delta_vs_S0,se_paired,t,p_beats_S0,mix,nsim
base,False,S0_adp,49.177041159253044,4.59044270584776,0.13251466659603792,0.0,0.0,0.0,0.0,"QB1.5,RB4.6,TE1.5,WR6.4",1200
base,False,S1_board,52.79868324852406,3.893423382741593,0.11239345190475208,3.6216420892709995,0.14462139966522175,25.042228174077923,0.7583333333333333,"QB1.0,RB7.2,TE1.0,WR4.8",1200
base,False,S2_board_dRB,47.29350563172069,4.352007258122055,0.12563162809959866,-1.8835355275323586,0.15694981711641437,-12.000877491531474,0.3625,"QB1.0,RB10.0,TE1.0,WR2.0",1200
base,False,S3_lineup_marginal,53.48697764517897,3.98824901007363,0.11513083197806342,4.309936485925914,0.14401287115512634,29.927439480623782,0.8066666666666666,"QB1.7,RB6.5,TE1.0,WR4.8",1200
base,False,S4_lineup_marginal_dRB,47.3878503385136,4.430600263851269,0.12790041275030783,-1.7891908207394491,0.15920904701322985,-11.23799717606985,0.37333333333333335,"QB1.0,RB10.0,TE1.0,WR2.0",1200
base,False,S5_first_QB,52.11862266456127,3.8195326034919166,0.1102604088402305,2.941581505308228,0.1462752193946432,20.10991005504486,0.7241666666666666,"QB1.0,RB6.7,TE1.0,WR5.3",1200
base,False,S5_first_RB,52.648121929875884,3.874735102345954,0.11185396771889643,3.471080770622838,0.14413136968630946,24.082757127593883,0.7483333333333333,"QB1.0,RB7.2,TE1.0,WR4.8",1200
base,False,S5_first_TE,51.60883035778036,3.967178270295446,0.11452257211391548,2.4317891985273183,0.15157924189379168,16.043022567900298,0.68,"QB1.3,RB6.4,TE1.0,WR5.3",1200
base,False,S5_first_WR,54.75358528880536,3.7050755116978027,0.10695631720233083,5.57654412955231,0.1510461375977913,36.91947518977045,0.8508333333333333,"QB1.0,RB6.2,TE1.0,WR5.8",1200
base,False,S6_noQB_before_R8,52.617471374596775,3.837172852622859,0.11076963896944657,3.4404302153437305,0.1446395400488333,23.786235867330397,0.745,"QB1.0,RB7.1,TE1.0,WR4.9",1200
base,False,S7_noQB_before_R12,52.63012317878588,3.8457074769281148,0.11101601235145017,3.4530820195328276,0.14479327167803308,23.848359661429644,0.7466666666666667,"QB1.0,RB7.2,TE1.0,WR4.8",1200
base,False,S8_minRB2_in6,52.79868324852406,3.893423382741593,0.11239345190475208,3.6216420892709995,0.14462139966522175,25.042228174077923,0.7583333333333333,"QB1.0,RB7.2,TE1.0,WR4.8",1200
base,False,S9_minRB2_marg,53.48697764517897,3.98824901007363,0.11513083197806342,4.309936485925914,0.14401287115512634,29.927439480623782,0.8066666666666666,"QB1.7,RB6.5,TE1.0,WR4.8",1200
base,False,S8_minRB3_in6,52.79868324852406,3.893423382741593,0.11239345190475208,3.6216420892709995,0.14462139966522175,25.042228174077923,0.7583333333333333,"QB1.0,RB7.2,TE1.0,WR4.8",1200
base,False,S9_minRB3_marg,53.48697764517897,3.98824901007363,0.11513083197806342,4.309936485925914,0.14401287115512634,29.927439480623782,0.8066666666666666,"QB1.7,RB6.5,TE1.0,WR4.8",1200
base,False,S8_minRB4_in6,52.78505303592785,3.894170059237992,0.11241500659856178,3.608011876674807,0.1446048712689504,24.950832188524757,0.7558333333333334,"QB1.0,RB7.2,TE1.0,WR4.8",1200
base,False,S9_minRB4_marg,53.468339204553374,3.976000934899816,0.11477726050313061,4.291298045300327,0.14356828343187278,29.890292916517804,0.8066666666666666,"QB1.7,RB6.6,TE1.0,WR4.7",1200
