year,pos,tier,scope,feature,coef,alpha
2015,WR,A,P0,h_targets_pg,0.38190999967791506,177.82794100389228
2015,WR,A,P0,h_carries_pg,0.02600031367252663,177.82794100389228
2015,WR,A,P0,h_touches_pg,0.38465157638285125,177.82794100389228
2015,WR,A,P0,h_air_yards_pg,0.15593534958642977,177.82794100389228
2015,WR,A,P0,h_target_share_full,0.38017851256530005,177.82794100389228
2015,WR,A,P0,h_air_yards_share_full,0.2788637086732491,177.82794100389228
2015,WR,A,P0,h_carry_share_full,0.06543496611551652,177.82794100389228
2015,WR,A,P0,h_wopr_full,0.35267567720102416,177.82794100389228
2015,WR,A,P0,h_u_rec,0.31882096585675856,177.82794100389228
2015,WR,A,P0,h_u_rush,0.06258443698428076,177.82794100389228
2015,WR,A,P0,h_u_tot,0.3250157162818069,177.82794100389228
2015,WR,A,P0,G_last,0.05201294052655804,177.82794100389228
2015,WR,A,P0,G_wtd,-0.13600516088467587,177.82794100389228
2015,WR,A,P0,avail_wtd,-0.06177879450975215,177.82794100389228
2015,WR,A,P0,h_adot,-0.06364013645564512,177.82794100389228
2015,WR,A,P0,h_ypr,0.08539989523835777,177.82794100389228
2015,WR,A,P0,h_catch_rate,0.01168631241119291,177.82794100389228
2015,WR,A,P0,h_racr_w,0.3486194394227482,177.82794100389228
2015,WR,A,P0,oldenv_tm_pass_att_pg,-0.043841302714634434,177.82794100389228
2015,WR,A,P0,oldenv_tm_tgt_pg,-0.05196612934358842,177.82794100389228
2015,WR,A,P0,oldenv_tm_ay_pg,-0.11835428427190205,177.82794100389228
2015,WR,A,P0,oldenv_tm_car_pg,0.018401042555086466,177.82794100389228
2015,WR,A,P0,oldenv_tm_plays_pg,-0.03312320542632685,177.82794100389228
2015,WR,A,P0,oldenv_tm_pass_rate,-0.01434061986230791,177.82794100389228
2015,WR,A,P0,oldenv_tm_td_pg,0.28007525948662626,177.82794100389228
2015,WR,A,P0,oldenv_tm_pass_yds_pg,0.33347344767571563,177.82794100389228
2015,WR,A,P0,expr,-0.13957287602962878,177.82794100389228
2015,WR,A,P0,log_draft_pick,0.020239985122645715,177.82794100389228
2015,WR,A,P0,age_s0,-0.20726776602610425,177.82794100389228
2015,WR,A,P0,age_s1,-0.12344058265243549,177.82794100389228
2015,WR,A,P0,age_s2,-0.10091215640945485,177.82794100389228
2015,WR,A,P0,age_s3,-0.08028313650418127,177.82794100389228
2015,WR,A,P1,h_targets_pg,0.26400992040474547,316.22776601683796
2015,WR,A,P1,h_carries_pg,0.03875247383520266,316.22776601683796
2015,WR,A,P1,h_touches_pg,0.2697042259297717,316.22776601683796
2015,WR,A,P1,h_air_yards_pg,0.1095924330037508,316.22776601683796
2015,WR,A,P1,h_target_share_full,0.2934583019312883,316.22776601683796
2015,WR,A,P1,h_air_yards_share_full,0.22054849339804125,316.22776601683796
2015,WR,A,P1,h_carry_share_full,0.05138334932498242,316.22776601683796
2015,WR,A,P1,h_wopr_full,0.274457959774698,316.22776601683796
2015,WR,A,P1,h_u_rec,0.24419701527969426,316.22776601683796
2015,WR,A,P1,h_u_rush,0.05250014447448754,316.22776601683796
2015,WR,A,P1,h_u_tot,0.2496105667066027,316.22776601683796
2015,WR,A,P1,G_last,0.07267881491519737,316.22776601683796
2015,WR,A,P1,G_wtd,-0.04980387891610635,316.22776601683796
2015,WR,A,P1,avail_wtd,-0.006453685198120202,316.22776601683796
2015,WR,A,P1,h_adot,-0.07546365670691679,316.22776601683796
2015,WR,A,P1,h_ypr,0.0435330103835853,316.22776601683796
2015,WR,A,P1,h_catch_rate,0.003456261677686154,316.22776601683796
2015,WR,A,P1,h_racr_w,0.23012363427309945,316.22776601683796
2015,WR,A,P1,oldenv_tm_pass_att_pg,-0.03756366297520311,316.22776601683796
2015,WR,A,P1,oldenv_tm_tgt_pg,-0.04068465828478583,316.22776601683796
2015,WR,A,P1,oldenv_tm_ay_pg,-0.07479136064130665,316.22776601683796
2015,WR,A,P1,oldenv_tm_car_pg,0.022831552223039082,316.22776601683796
2015,WR,A,P1,oldenv_tm_plays_pg,-0.02127069418776101,316.22776601683796
2015,WR,A,P1,oldenv_tm_pass_rate,-0.02220531128466814,316.22776601683796
2015,WR,A,P1,oldenv_tm_td_pg,0.19725117476680515,316.22776601683796
2015,WR,A,P1,oldenv_tm_pass_yds_pg,0.2277088885471362,316.22776601683796
2015,WR,A,P1,expr,-0.12245591586478241,316.22776601683796
2015,WR,A,P1,log_draft_pick,-0.00691055191753186,316.22776601683796
2015,WR,A,P1,mu_hat,0.5462854165547667,316.22776601683796
2015,WR,A,P1,age_s0,-0.16736476405531595,316.22776601683796
2015,WR,A,P1,age_s1,-0.12458846030283846,316.22776601683796
2015,WR,A,P1,age_s2,-0.11207295884774017,316.22776601683796
2015,WR,A,P1,age_s3,-0.09934546795693977,316.22776601683796
2015,RB,A,P0,h_targets_pg,0.36401088697510386,100.0
2015,RB,A,P0,h_carries_pg,0.4483371603096892,100.0
2015,RB,A,P0,h_touches_pg,0.5082287619303525,100.0
2015,RB,A,P0,h_air_yards_pg,0.033718023022842325,100.0
2015,RB,A,P0,h_target_share_full,0.2815492965836004,100.0
2015,RB,A,P0,h_air_yards_share_full,0.3289954962543599,100.0
2015,RB,A,P0,h_carry_share_full,0.13722108338851738,100.0
2015,RB,A,P0,h_wopr_full,0.3079326597216389,100.0
2015,RB,A,P0,h_u_rec,0.31034109239694757,100.0
2015,RB,A,P0,h_u_rush,0.17394556753250826,100.0
