model,term,mult,lo,hi,p
e2 ~ tier + rush_tercile,rookie,0.878786910436735,0.7498034244651196,1.029958531472228,0.11060526689742993
e2 ~ tier + rush_tercile,soph,0.9893610065732442,0.8699003056664396,1.125226873644707,0.8705869049284012
e2 ~ tier + rush_tercile,rmid,1.0790123294380844,0.9793308200441648,1.1888399540278907,0.12413340348850664
e2 ~ tier + rush_tercile,rhigh,1.2438165308859583,1.1255672063180502,1.374488838890375,1.8628183856640584e-05
log e2 ~ rush_pg + tier,rush_pg,1.0500013126476262,,,0.0009584795852704688
board tau2_B vs rush,spearman,-0.2735294117647059,,,0.3053231563074052
board sigma_W vs rush,spearman,0.28529411764705886,,,0.28413874015956303
