year,name,gsis_id,adp,adp_rank,rookie_season,exp,games,ppg,tier,in_fit,m_ols,m_iso,resid_iso,resid_ols,m_hat,tau2,sig2,mu_hat,n_eff,share,th_inc,th_lam50,th_lam25,th_lam00
2015,Martavis Bryant,00-0031373,67.2,30,2014,1,11,15.47272727272727,soph,True,12.758066856788938,12.496525615649944,2.9762016570773255,2.714660415938333,12.022439990043988,6.957265089440239,39.27178074071456,13.01,1.0,1.0,12.171063364323379,12.171063364323379,12.171063364323379,12.171063364323379
2016,Antonio Brown,00-0027793,1.2,1,2010,6,15,20.486666666666668,vet,True,21.82422980786913,20.486666666666668,0.0,-1.3375631412024624,23.00380952380952,12.956172891265584,43.15615042962345,24.360416666666666,1.8,0.8333333333333334,23.47972542740557,23.45320355441627,23.439334433830673,23.42503467844457
2016,Julio Jones,00-0027944,2.8,2,2011,5,14,18.564285714285713,vet,True,19.91588960294928,18.700576563958915,-0.1362908496732018,-1.3516038886635684,21.1840921807653,12.956172891265584,43.15615042962345,21.988055555555558,1.8,1.0,21.466133269805717,21.466133269805717,21.466133269805717,21.466133269805717
2016,Odell Beckham Jr.,00-0031235,3.4,3,2014,2,16,18.5375,vet,True,19.478598603281988,18.700576563958915,-0.1630765639589135,-0.9410986032819864,21.1840921807653,12.956172891265584,43.15615042962345,22.441111111111113,1.8,1.0,21.625071209382924,21.625071209382924,21.625071209382924,21.625071209382924
2016,A.J. Green,00-0027942,6.4,4,2011,5,9,20.711111111111112,vet,True,18.053989518564833,18.25394794129773,2.4571631698133807,2.6571215925462788,18.60236186600771,12.956172891265584,43.15615042962345,17.106944444444444,1.8,0.8181818181818182,18.077749462790027,18.109730437223163,18.12652431297149,18.14389027090543
2016,DeAndre Hopkins,00-0030564,6.4,5,2013,3,16,12.3375,vet,True,18.053989518564833,18.25394794129773,-5.916447941297731,-5.716489518564833,18.60236186600771,12.956172891265584,43.15615042962345,18.60833333333333,1.8,0.4583333333333333,18.604456736496214,18.60404974435247,18.603812426188107,18.60354727008917
2016,Allen Robinson II,00-0031428,9.2,6,2014,2,16,12.45625,vet,True,17.236629795884518,18.00710576923077,-5.550855769230768,-4.780379795884517,16.92861999998771,12.956172891265584,43.15615042962345,16.56,1.8,0.9523809523809523,16.799303180965033,16.801318844621612,16.802339463837463,16.803368752810083
2016,Brandon Marshall,00-0024334,13.0,7,2006,10,15,10.386666666666668,vet,True,16.45791810339268,16.281429738562093,-5.894763071895426,-6.071251436726012,16.38361165413734,12.956172891265584,43.15615042962345,18.725641025641025,1.8,0.6666666666666666,17.205226836142202,17.1108094205399,17.05906231917463,17.003888963511134
2016,Mike Evans,00-0031408,15.7,9,2014,2,16,19.00625,vet,True,16.032889925577955,16.174372178623514,2.8318778213764872,2.9733600744220468,16.38361165413734,12.956172891265584,43.15615042962345,14.895555555555555,1.8,0.6666666666666666,15.861581701334163,15.9215717308397,15.954450306449143,15.98950582256403
2016,Dez Bryant,00-0027902,16.4,10,2010,6,12,15.0,vet,True,15.93464467850943,16.174372178623514,-1.1743721786235142,-0.9346446785094304,16.38361165413734,12.956172891265584,43.15615042962345,13.183333333333332,1.8,0.29411764705882354,15.260911278554342,15.554500895671488,15.734777531490575,15.944722157649906
2016,Jordy Nelson,00-0026176,17.3,11,2008,8,16,19.04375,vet,True,15.814316989411823,16.174372178623514,2.869377821376485,3.229433010588174,16.38361165413734,12.956172891265584,43.15615042962345,20.49375,1.0,1.0,17.332630690677444,17.332630690677444,17.332630690677444,17.332630690677444
2016,Amari Cooper,00-0031544,20.1,12,2015,1,16,14.51875,soph,True,15.47644709627714,15.309814510824571,-0.7910645108245742,-0.9576970962771424,15.83899928440123,9.015292791890888,39.89072496744503,13.29375,1.0,0.9375,15.369810244309175,15.381838884605322,15.387905626846678,15.394007724486682
