term,beta,se_cluster,t,p_cluster,fdr_survivor,holdout_mse_survivors,holdout_mse_full,holdout_mse_zero,holdout_improves,final_survivor
tc_x_vacated,-2.2776625654529035,2.1376625037962023,-1.0654921258187762,0.31440172241248737,False,,9.533840256025654,9.335584903911947,False,False
tc_x_epa_new,-1.6541149803723212,0.9702544180648679,-1.704826022510039,0.12242020210815888,False,,9.533840256025654,9.335584903911947,False,False
qb_change_same_team,-0.41189833680551613,0.30154061520368225,-1.3659796260854955,0.2051030303690556,False,,9.533840256025654,9.335584903911947,False,False
