pick,round,position,n,raw_best,myopic_marginal,rollout_gain,rollout_se
5,1,QB,40,9.862924948469589,9.862924948469589,-1.8174851634548985,0.6681437127486345
5,1,RB,40,12.104587206892832,12.104587206892832,-0.23109677351854696,0.45960413651853727
5,1,TE,40,5.609990276013011,5.609990276013011,-3.755601169497466,0.5119486691044468
5,1,WR,40,13.46851471552183,13.46851471552183,0.0,0.0
16,2,QB,40,9.862924948469589,9.862924948469589,0.17610352845543886,0.11906903751873082
16,2,RB,40,9.705927426694306,9.705927426694306,2.44750480126499,0.5974624301076079
16,2,TE,40,5.609990276013011,5.609990276013011,-1.933985097842757,0.5614496434309553
16,2,WR,40,11.034483427649093,11.034483427649093,0.0,0.0
25,3,QB,40,9.745390198100418,9.745390198100418,0.07759175588433127,0.20333173221938933
25,3,RB,40,9.62817444032654,9.62817444032654,0.4375967402505131,0.4281564923943233
25,3,TE,40,5.609990276013011,5.609990276013011,-1.1594637627139446,0.556251325758272
25,3,WR,40,9.32990772429197,9.32990772429197,-2.2603495057224827,0.4751668523236114
36,4,QB,40,7.570997316270763,0.9977961178203575,-3.165289319353081,0.5172164659979409
36,4,RB,40,9.234032140644517,9.234032140644517,0.011515344551266793,0.17704158515779728
36,4,TE,40,5.286868585943482,5.286868585943482,-1.3401533921829043,0.689960948579641
36,4,WR,40,9.231380595153713,9.231380595153713,-2.3054433382009263,0.5137546709753528
45,5,QB,40,7.4636424410861775,0.7462979941086176,-1.2844303724746267,0.28841851958080794
45,5,RB,40,6.549693741528143,6.549693741528143,2.5704145928550637,0.4397300743551332
45,5,TE,40,4.1790227914193805,4.1790227914193805,0.2529044736555722,0.5077418428333187
45,5,WR,40,8.123341300422116,8.123341300422116,-0.5242941395588885,0.2698859261883689
56,6,QB,40,7.227804941086177,0.7082229941086178,0.05031218486327713,0.26028123890671057
56,6,RB,40,5.319449788646882,5.319449788646882,2.1130710552157757,0.5595981085048584
56,6,TE,40,3.7635806184728424,3.7635806184728424,0.9367504814442699,0.5275188153538971
56,6,WR,40,7.066221934737008,7.066221934737008,0.025280363038372576,0.1693311638980132
