pos,resid_sd,top_level,n_top_level,top_z,top_player_year,decile_reversals,loo_max_abs_delta_m,loo_mean_abs_delta_top_quintile,loo_top_level,rmse_iso,rmse_ols
TE,2.648853519261925,16.848927029465635,8,3.0518232640779517,2015,3,0.19716665349312557,0.0,16.848927029465635,2.6414441242747246,2.7916816206421102
QB,3.1059270992889934,21.825714285714284,2,3.2446275226845818,2019,4,0.13719832347737082,0.0,21.825714285714284,3.0990782991148267,3.2182907575071944
