panel,measure,sd_within,b_realized,p_realized,b_priced,p_priced,b_residual,p_residual
WR,sos_vegas,0.24461722041203998,0.0267851578166906,0.9039975410287157,0.13682233335216412,0.39663236806831526,-0.11003717553547286,0.3114276746426359
WR,sos_vegas_w1_14,0.3023406952187678,0.018059779893517362,0.9145273294518914,0.199635788882137,0.2905503011865245,-0.18157600898861992,0.3175972682548306
WR,sos_vegas_w15_17,0.9877768820380123,0.09435367047083444,0.5303777151968002,0.00901792843474346,0.9532533442049509,0.08533574203609058,0.6551343958584261
WR,sos_prior_wpct,0.03371740626482722,0.12525638554778,0.579069578608504,0.014658773270920633,0.9185423621682691,0.11059761227685999,0.3542710202127015
WR,sos_prior_wpct_w1_14,0.03877596468048766,0.04179012937198964,0.8317568222538572,0.01874268786557633,0.8953671222151861,0.023047441506412282,0.8639333544477243
WR,sos_prior_wpct_w15_17,0.10754325189421951,0.16251750543606533,0.3515211062350897,0.01988474466673666,0.9083424695944743,0.1426327607693279,0.43390115374077765
WR,sos_wr_fpa,0.9765215674562479,0.28723533728768175,0.11844392492642682,0.1349098178170255,0.46180492940913453,0.1523255194706565,0.3378645221753118
WR,sos_wr_fpa_w15_17,2.2110029538542486,0.052435999834318084,0.7733492833956761,0.2622855620850493,0.07230140035736056,-0.2098495622507313,0.09944000887899851
RB,sos_vegas,0.24461722041203998,-0.2628713859262841,0.29261555095642516,-0.22332921963237684,0.31074716589508566,-0.039542166293906965,0.7889783669520517
RB,sos_vegas_w1_14,0.3023406952187678,-0.12203516874571885,0.5356210521101383,-0.1586424043273097,0.1254185506983663,0.03660723558159087,0.8355351473532662
RB,sos_vegas_w15_17,0.9877768820380123,-0.054045286130082235,0.8866757074682355,0.04322566497439616,0.8354798233533063,-0.09727095110447839,0.6457900855833772
RB,sos_prior_wpct,0.03371740626482722,0.21666395226203347,0.27863970112466113,0.19778193736895694,0.3160909759505483,0.01888201489307625,0.9411910742124812
RB,sos_prior_wpct_w1_14,0.03877596468048766,0.13881834888187827,0.5871086673584835,0.18915564682556377,0.42035265040230674,-0.050337297943685175,0.7896951878208802
RB,sos_prior_wpct_w15_17,0.10754325189421951,0.2893376639876422,0.43131232803321884,0.20067516824733952,0.19031113147162987,0.08866249574030255,0.7564931565653538
RB,sos_rb_fpa,0.6569198662897595,-0.06469950903488914,0.8341199388704896,-0.25921976109470785,0.2149222259780963,0.19452025205981824,0.5687667505838349
RB,sos_rb_fpa_w15_17,1.7874109832057639,-0.08772017523708082,0.8009951037273966,-0.1784833516427553,0.40482358979519717,0.09076317640567551,0.7616211832246911
