term,beta,lo,hi,boot_p
touches/100 (linear),-0.45815417170371114,-0.6102238523647064,-0.3205254637385527,0.0
touches/100 squared,0.03212902528634949,-0.0031829995335917816,0.07043242506989324,0.06333333333333334
>=350 indicator,-0.09116754880080925,-0.23115229928398282,0.05634441727579532,0.18
marginal 200->350,-0.5133343477439927,-0.6145449462139259,-0.40836380921710036,0.0
