year,name,gsis_id,adp,adp_rank,rookie_season,exp,games,ppg,tier,in_fit,m_ols,m_iso,resid_iso,resid_ols,birth_date,rookie_season_meta,age,prior_season,games_prior,ts_prior,adot_prior,wopr_prior,team_now,team_prev,epa_z,rookie,vet,no_prior,no_prior_vet,team_change,rook_x_epa,vet_x_change,agec_x_adotc
2015,Antonio Brown,00-0027793,2.5,1,2010,5,16,24.3875,vet,True,20.449084870820737,20.3425,4.044999999999998,3.9384151291792655,1988-07-10,2010,27.143052703627653,2014,16.0,0.2957516339869281,10.07182320441989,0.6876236268886139,PIT,PIT,1.8758450707334011,0,1,0,0,0.0,0.0,0.0,-0.49011666136338666
2015,Julio Jones,00-0027944,6.2,2,2011,4,16,23.06875,vet,True,18.346170052997557,18.379251629089865,4.689498370910137,4.722579947002444,1989-02-08,2011,26.559890485968516,2014,15.0,0.2739495798319328,12.306748466257668,0.7116739949353055,ATL,ATL,0.6394129847727297,0,1,0,0,0.0,0.0,0.0,-0.11634891874655892
2015,Dez Bryant,00-0027902,7.6,3,2010,5,9,9.9,vet,True,17.874772062774667,17.943725961538462,-8.043725961538463,-7.974772062774669,1988-11-04,2010,26.822724161533195,2014,16.0,0.28781512605042014,12.401459854014599,0.7099215194849868,DAL,DAL,1.6835521808244742,0,1,0,0,0.0,0.0,0.0,0.2234347593318321
2015,Demaryius Thomas,00-0027874,9.1,4,2010,5,16,16.7125,vet,True,17.457721235342813,17.943725961538462,-1.2312259615384633,-0.7452212353428145,1987-12-25,2010,27.685147159479808,2014,16.0,0.3031301482701812,9.891304347826088,0.703474757652294,DEN,DEN,1.3253343562543878,0,1,0,0,0.0,0.0,0.0,-1.219832546036996
2015,Odell Beckham Jr.,00-0031235,11.4,5,2014,1,15,21.28666666666667,soph,True,16.93598808502182,16.94065359477124,4.3460130718954275,4.35067858164485,1992-11-05,2014,22.819986310746064,2014,12.0,0.2777777777777778,11.507692307692308,0.6815793911796948,NYG,NYG,0.5219316723314131,0,0,0,0,0.0,0.0,0.0,-1.660388855380361
2015,Calvin Johnson,00-0025389,13.1,6,2007,8,15,17.233333333333334,vet,True,16.614160351920425,16.42261932202348,0.8107140113098552,0.619172981412909,1985-09-29,2007,29.921971252566735,2014,12.0,0.2803532008830022,14.976377952755906,0.7735926493754182,DET,DET,0.07579710515940355,0,1,0,0,0.0,0.0,0.0,12.749440237188914
2015,Randall Cobb,00-0028002,15.9,7,2011,4,16,12.68125,vet,True,16.165665744697378,16.42261932202348,-3.7413693220234783,-3.484415744697378,1990-08-22,2011,25.026694045174537,2014,16.0,0.23694029850746268,8.937007874015748,0.5391098697265119,GB,GB,1.7933021166950287,0,1,0,0,0.0,0.0,0.0,3.479305263585377
2015,A.J. Green,00-0027942,16.7,8,2011,4,16,17.10625,vet,True,16.052007285300828,16.42261932202348,0.6836306779765202,1.0542427146991713,1988-07-31,2011,27.085557837097877,2014,12.0,0.31351351351351353,13.344827586206897,0.8346280375870154,CIN,CIN,-0.3887993156030474,0,1,0,0,0.0,-0.0,0.0,0.9789754574238233
2015,Brandin Cooks,00-0031236,20.6,9,2014,1,16,15.85,soph,True,15.56606117197149,15.39774859415863,0.4522514058413698,0.2839388280285089,1993-09-25,2014,21.932922655715263,2014,10.0,0.16546762589928057,8.202898550724637,0.37734094341215424,NO,NO,0.9995566345873765,0,0,0,0,0.0,0.0,0.0,13.55873833207788
2015,T.Y. Hilton,00-0029608,22.8,10,2012,3,16,13.2125,vet,True,15.331126274913494,15.39774859415863,-2.1852485941586295,-2.1186262749134936,1989-11-14,2012,25.796030116358658,2014,15.0,0.21231766612641814,13.82442748091603,0.5473445259092516,IND,IND,0.7548426685363838,0,1,0,0,0.0,0.0,0.0,-2.3601047463346503
