panel,window,n,sd_within,beta_per_sd_naive,beta_per_sd_LOTO,se_per_sd,p_raw
WR,full,291,1.0804664277930685,0.7594874862827162,-0.0829273179778843,0.2770941793438422,0.7715262239020058
WR,w15_17,291,2.2681960070151947,0.1669155605077251,-0.23167981587474454,0.1394036897210709,0.13089093450710973
RB,full,286,0.8312252647062938,0.7250619393935767,0.026678864784165566,0.27803459421908117,0.925658806217616
RB,w15_17,286,1.859917691375621,0.41861529336276926,0.025036244095355892,0.29016825248329503,0.933131462083267
