pos,fold,a,b,c,cal_a,cal_b,f_peak
WR,2015,3.2425714234829663,0.7253954273698312,10.779503278623833,3.990998884816563,0.6597116555255274,25.30000000000006
WR,2016,2.8830332572390898,0.7647957361585646,11.959333415403636,3.7439544046383384,0.6874824507022984,25.25000000000006
WR,2017,3.3484710675055913,0.736288273107805,10.128833651397766,4.1123825993709255,0.6676242201356789,25.15000000000006
WR,2018,3.187288947598674,0.7234230109109708,9.866820189125283,3.8707222446325327,0.6643760498411982,25.30000000000006
WR,2019,3.129111535818376,0.741216580515947,10.313320065318752,3.7947527835531614,0.6798081533145647,25.30000000000006
WR,2020,3.185934585269307,0.7329157579661526,9.999287776369131,3.727152406250266,0.6831926845592581,25.20000000000006
WR,2021,3.2249656955969583,0.7321088664289441,11.088678959106169,3.9615661593809306,0.6681362679982763,25.10000000000006
WR,2022,3.6131288545325515,0.7023337514572702,9.648452911922911,4.173781366215899,0.6513553251033267,25.350000000000062
WR,2023,4.09884664921706,0.6781956540638997,11.945957032133297,4.797160672275761,0.6134099236377116,25.25000000000006
WR,2024,3.052660737139889,0.7460154161258226,9.238603009820924,3.6492632972841794,0.6939351310076133,25.30000000000006
RB,2015,4.274650891025506,0.6533215671865257,20.46619287335575,4.132886582064523,0.6268642712529141,24.250000000000046
RB,2016,4.071968923023801,0.655121732450131,17.05186575336328,3.940985248035614,0.6312467044584938,24.300000000000047
RB,2017,5.055257144866619,0.609053468970696,19.77125340314337,4.8304411480744935,0.5802531909319203,24.650000000000052
RB,2018,4.263874350585968,0.625669424685154,10.369165696643872,4.232561848801081,0.6076159847739174,23.950000000000042
RB,2019,4.626178128522619,0.6297898536869878,18.71043923715136,4.482792875996558,0.5941741344549155,24.350000000000048
RB,2020,4.589109399032208,0.6131500583291367,12.623387315536258,4.544266457951805,0.5979879980828826,24.100000000000044
RB,2021,4.446302959166468,0.6287535773072223,15.646780875277448,4.510338398793544,0.5968241133269101,24.60000000000005
RB,2022,4.645236411262674,0.6248651851741096,16.539366519515813,4.435189751615391,0.6037740763752818,23.80000000000004
RB,2023,4.356514036970252,0.6418664283097136,17.962567523966513,4.229673700761452,0.6181276147031214,24.800000000000054
RB,2024,4.686250722877392,0.6156411402683081,16.306299087718585,4.485116402385429,0.5932559030903326,24.300000000000047
