year,name,gsis_id,adp,adp_rank,rookie_season,exp,games,ppg,tier,in_fit,m_ols,m_iso,resid_iso,resid_ols,mu_hat,n_eff,sig2,th_iso,m_cir,th_cir,th_ols,m_half,th_half
2015,Antonio Brown,00-0027793,2.5,1,2010,5,16,24.3875,vet,True,19.4761509461575,19.637322680748838,4.251666666666665,4.2163640466784535,24.30625,1.0,43.03219153227476,20.523603400840464,19.841655843240204,20.73587518813652,20.44380866460055,19.73948926199452,20.629008853460434
2015,Julio Jones,00-0027944,6.2,2,2011,4,16,23.06875,vet,True,17.60780004936136,17.064472903762,4.81480205870227,4.9432539660995864,19.826666666666664,1.0,43.03219153227476,17.588807276483053,17.115988145836837,17.658913456853274,18.052325800178625,17.090230524799416,17.623237112757735
2015,Dez Bryant,00-0027902,7.6,3,2010,5,9,9.9,vet,True,17.18898286745928,17.054877553918406,-8.10710576923077,-7.766937019259473,19.75,1.0,43.03219153227476,17.566480091057795,17.060052309118028,17.598825415359688,17.702054746056977,17.05746493151822,17.581920411349113
2015,Demaryius Thomas,00-0027874,9.1,4,2010,5,16,16.7125,vet,True,16.818450841702543,17.054877553918406,-1.2946057692307704,-0.5487449703987721,21.30625,1.0,43.03219153227476,17.861895777859235,17.055892959479365,17.907202474946775,17.717532505647725,17.055385256698884,17.88337421578096
2015,Odell Beckham Jr.,00-0031235,11.4,5,2014,1,15,21.28666666666667,soph,True,16.35491299840581,16.03102337677672,4.3460130718954275,4.532944944730602,24.75,1.0,39.27178074071456,17.343190448086435,16.653824333520763,17.88126796292767,17.59522771755036,16.34242385514874,17.609712058374477
2015,Calvin Johnson,00-0025389,13.1,6,2007,8,15,17.233333333333334,vet,True,16.06898266558506,16.03102337677672,0.9519035947712418,0.792674058068549,18.75,1.0,43.03219153227476,16.547154041224314,16.34645628111758,16.82786516494064,16.606095277149905,16.18873982894715,16.687625413653276
2015,Randall Cobb,00-0028002,15.9,7,2011,4,16,12.68125,vet,True,15.67051417104052,16.03102337677672,-3.493122178623514,-3.3231298480598976,18.4625,1.0,43.03219153227476,16.492579255710794,15.937813882595567,16.44348653428687,16.229858111415197,15.984418629686143,16.46710253948598
2015,A.J. Green,00-0027942,16.7,8,2011,4,16,17.10625,vet,True,15.569533435757183,16.03102337677672,0.9318778213764852,1.2124330143779467,17.108333333333334,1.0,43.03219153227476,16.235524106552916,15.848202882267069,16.100596042064193,15.877815229035184,15.939613129521895,16.167257969677536
2015,Brandin Cooks,00-0031236,20.6,9,2014,1,16,15.85,soph,True,15.137790861622253,15.298547452250265,0.5401854891754265,0.4288939200641053,13.930000000000001,1.0,39.27178074071456,15.092587168151725,15.465071546927945,15.232342679796051,14.959348305513675,15.381809499589105,15.162975792886723
2015,T.Y. Hilton,00-0029608,22.8,10,2012,3,16,13.2125,vet,True,14.929061139482872,15.298547452250265,-1.966905480140774,-1.980069859726834,17.233333333333334,1.0,43.03219153227476,15.66581884172746,15.28753286839341,15.677259763148907,15.390696967013007,15.293040160321837,15.670972986146884
2015,Jordan Matthews,00-0031299,24.4,11,2014,1,16,14.41875,soph,True,14.789545351524993,15.298547452250265,-0.760655480140775,-0.6210653285916319,13.479999999999999,1.0,39.27178074071456,15.024864176382643,15.21462448769081,14.95164183210878,14.596069289326312,15.256585969970537,14.98879815538871
2015,Alshon Jeffery,00-0029137,26.1,12,2012,3,9,17.633333333333333,vet,True,14.650997238450817,15.200596444529614,2.4539278531925586,2.74521303769885,16.35,1.0,43.03219153227476,15.41878236629752,15.142221796056447,15.384129256486016,14.99137393001395,15.171409120293031,15.400976583527434
2015,DeAndre Hopkins,00-0030564,28.7,13,2013,2,16,20.69375,vet,True,14.455654207585287,14.213500732407576,5.805390230056515,6.019508961524588,14.4375,1.0,43.03219153227476,14.256021469743374,14.667733333496658,14.621619600999615,14.452017209897187,14.440617032952117,14.440009893222838
2015,Mike Evans,00-0031408,30.0,14,2014,1,15,14.173333333333336,soph,True,14.364525500335219,14.213500732407576,-0.7150264366101471,-0.4011317360371045,16.34,1.0,39.27178074071456,14.533529382176736,14.338073497827422,14.641581231955078,14.6563878835081,14.275787115117499,14.586929422114046
2015,Emmanuel Sanders,00-0027685,31.9,15,2010,5,15,15.093333333333334,vet,True,14.238203690152856,14.213500732407576,0.204973563389851,0.6571768322546987,18.8625,1.0,43.03219153227476,15.095998603299279,14.144036595823232,15.089103741022027,15.164631071187934,14.178768664115404,15.091071940650048
2015,Davante Adams,00-0031381,34.6,16,2014,1,13,8.176923076923076,soph,True,14.071071589218878,13.986443588480336,-6.006668604407576,-6.076242050279513,7.038461538461538,1.0,39.27178074071456,12.940803296957768,14.017687567214223,12.959582249335332,13.032053201642686,14.00206557784728,12.95242973762323
2015,Jarvis Landry,00-0031382,36.6,17,2014,1,16,17.21,soph,True,13.955475482471524,13.986443588480336,3.0264083186693487,3.083399968731772,12.626666666666667,1.0,39.27178074071456,13.781803230071946,13.916332310941977,13.72080890034149,13.759153379691787,13.951387949711156,13.75171046530414
2015,Andre Johnson,00-0022044,37.7,18,2003,12,15,7.686666666666667,vet,True,13.894561843459886,13.62333428463745,-6.446685319123278,-6.373239591064111,12.706666666666667,1.0,43.03219153227476,13.44932754154895,13.858827313608234,13.628059565690215,13.656579987661134,13.741080799122841,13.539596270088627
2015,Jeremy Maclin,00-0026995,38.8,19,2009,6,15,16.21333333333333,vet,True,13.835400214310825,13.62333428463745,2.079981347543386,2.2182025899306375,17.3,1.0,43.03219153227476,14.32125860749248,13.802976286126087,14.50339969410204,14.529495032360408,13.713155285381768,14.411805560323115
2015,Amari Cooper,00-0031544,40.8,20,2015,0,16,13.29375,rookie,True,13.732008131698136,13.62333428463745,-0.8396019857899457,-0.588177719330881,,0.0,36.75293911819843,13.62333428463745,13.705369879228662,13.705369879228662,13.732008131698136,13.664352081933057,13.664352081933057
2015,Julian Edelman,00-0027150,41.9,21,2009,6,9,19.166666666666668,vet,True,13.67728238071048,13.62333428463745,5.033314680876723,5.344657660160353,16.32857142857143,1.0,43.03219153227476,14.136856847744935,13.653706504396782,14.189458663763837,14.20843925397278,13.638520394517116,14.162492030894002
2015,Golden Tate,00-0027891,43.5,22,2010,5,16,13.0875,vet,True,13.600193476046686,13.62333428463745,-0.5926085949224493,-0.6501050859177742,16.19375,1.0,43.03219153227476,14.111264324103503,13.513960909211688,14.050699336286137,14.119784267176575,13.568647596924569,14.079968454552787
2015,Keenan Allen,00-0030279,48.7,23,2013,2,8,20.4375,vet,True,13.367913123632242,13.62333428463745,6.75739140507755,6.954216499075175,12.664285714285715,1.0,43.03219153227476,13.441282562814866,12.948347634081191,12.89145250433129,13.2269490386368,13.28584095935932,13.164773620956817
2015,Brandon Marshall,00-0024334,50.5,24,2006,9,16,21.2,vet,True,13.29325321675435,12.817958766791135,7.644032229344727,7.798460932709981,13.776923076923076,1.0,43.03219153227476,12.99999449388877,12.817697518645716,13.009822047821983,13.390151203349097,12.817828142718426,13.004641900433123
2015,Allen Robinson II,00-0031428,53.5,25,2014,1,16,19.0,soph,True,13.174543202110355,12.81434397867196,5.88331237390061,5.728435417271335,11.68,1.0,39.27178074071456,12.643630272158829,12.816228632597932,12.643967474480233,12.953735016129329,12.815286305634945,12.64416267646675
