pos,arm,n,beta_mu_alone,R2_mu,beta_yhat_alone,R2_yhat,beta_mu_joint,se_mu_joint,beta_yhat_joint,se_yhat_joint,R2_joint,beta_mhat,se_mhat,beta_yhat_vs_mhat,se_yhat_vs_mhat,R2_mkt,corr_yhat_mhat,corr_yhat_mu
WR,ridge_P1,568,0.6668536219343811,0.29190778056013744,0.9988387581352246,0.31829801859754936,0.25435519716077304,0.09457402884584126,0.6825687791129168,0.13255980046620447,0.32885404289370357,0.5858229860091168,0.08917204580417036,0.4350785277123065,0.10137911768395229,0.36942058077800277,0.815362886135523,0.8668553110120288
RB,ridge_P1,489,0.6049852037577206,0.2824349815175068,0.9509778256358397,0.3089037163906696,0.219073893998695,0.09589859048524992,0.6628214804195981,0.14136177487251217,0.31757641375780465,0.7457225075645609,0.07051477755850775,0.272094002529592,0.08781566608674357,0.4319368507690102,0.7492085699004866,0.8751132222496091
WR,ridge_P0,568,0.6668536219343811,0.29190778056013744,1.0048089551110828,0.30842100799564665,0.31914615506441835,0.0810591428236745,0.6205255055529871,0.11456182455368265,0.330169845383949,0.6102598177637103,0.08479530107138246,0.417254778770606,0.0960887013261376,0.36847565450559505,0.7982206367162419,0.8214066640756489
RB,ridge_P0,489,0.6049852037577206,0.2824349815175068,0.9904838641119158,0.2796149860010494,0.33768748670937576,0.08724861927204038,0.5249088225207191,0.14293743242572415,0.30583058324624457,0.7807652728584511,0.06895317855358564,0.24644700514127535,0.09525735084908857,0.4292697310165835,0.7163910155944067,0.8379016585551301
