name,position,rank,value_prior,final,mu_hat,B,rank_new,value_prior_new,final_new,mu_star,age_2026,mu_star_z,cal_term,age_term,d_mu,d_value_prior,d_rank
Ja'Marr Chase,WR,4,19.836385705709844,12.280630298952318,20.23370018975332,0.5867285202276731,5,18.79616345591418,11.240408049156652,17.716656791624978,26.50239561943874,-0.0304101518716841,-2.190361171476649,-0.3266822266516939,-2.5170433981283438,-1.040222249795665,1
Amon-Ra St. Brown,WR,5,18.863518541778976,11.931003864131965,19.551040480708412,0.5867285202276731,4,17.858276272025805,11.42838272925538,17.118638732813867,26.855578370978783,-0.0397189194934631,-2.0057197268683424,-0.4266820210262015,-2.432401747894545,-1.0052422697531718,-1
Puka Nacua,WR,6,20.186784330974845,11.365136758729896,21.26749427043545,0.6316382999991158,6,19.372215163437225,10.957852174961085,19.056164570481116,25.259411362080765,0.0240767582252124,-2.469975201652421,0.2586455016980909,-2.2113296999543337,-0.8145691675376199,0
Jaxon Smith-Njigba,WR,11,18.09530065074046,10.116894918612704,17.608403361344536,0.6316382999991158,11,17.748317181056017,9.94340318377048,16.666439336084554,24.54483230663929,0.0501113962286879,-1.4802876275125634,0.5383236022525811,-0.9419640252599812,-0.34698346968444227,0
Rashee Rice,WR,16,17.625455966033506,9.496972576259228,18.79970238095238,0.6316382999991158,17,16.860398317016788,9.114443751750867,16.72278274187241,26.360027378507873,-0.0255448980221359,-1.8025025891200102,-0.27441704995995675,-2.076919639079968,-0.7650576490167182,1
CeeDee Lamb,WR,17,17.55790850884714,9.30069884766604,17.72019257703081,0.579126763028035,18,16.711496333153775,8.877492759819361,15.709106812150624,27.40041067761807,-0.0465962588049456,-1.5105236616631998,-0.5005621032169882,-2.011085764880187,-0.8464121756933665,1
A.J. Brown,WR,20,16.36365756657404,8.365402159816513,16.283783478564047,0.5753131613547278,26,15.62808626532669,7.629830858569163,14.551751227237904,29.17180013689254,-0.0567854016469267,-1.122012889055151,-0.610019362270993,-1.7320322513261424,-0.7355713012473508,6
Justin Jefferson,WR,21,16.075134512220863,8.159379105463337,15.596991129785248,0.579126763028035,28,15.477152849556829,7.5613974427993,14.176179326767544,27.21149897330595,-0.0451064829352847,-0.93625367440651,-0.48455812861119374,-1.4208118030177044,-0.5979816626640346,7
Drake London,WR,22,17.036142696895674,8.039815941690312,15.66433366013072,0.6018310388772187,21,16.786631759501933,7.915060472993442,15.037687784243868,25.10609171800137,0.0305162673878233,-0.9544680525539526,0.3278221766671006,-0.6266458758868527,-0.2495109373937403,-1
George Pickens,WR,27,15.111770989509903,7.777630087997427,14.679516806722688,0.6018310388772187,25,14.894847611194216,7.669168398839583,14.134714475310432,25.49486652977413,0.0133393740530784,-0.6881010704710739,0.1432987390588179,-0.5448023314122565,-0.21692337831568764,-2
Davante Adams,WR,28,15.384625150521371,7.693869743763846,16.807252616496957,0.5716106102813692,38,14.0420266090968,6.351271202339275,13.673191471083438,33.686516084873375,-0.1741174737963274,-1.2635974831877448,-1.8704636622257733,-3.1340611454135185,-1.3425985414245716,10
Nico Collins,WR,30,15.452797920238162,7.609542513480636,15.530952380952382,0.5867285202276731,30,14.865055012320234,7.021799605562706,14.10878091090147,27.45516769336071,-0.0468957626952024,-0.9183919347680529,-0.5037795352828583,-1.4221714700509125,-0.5877429079179279,0
DeVonta Smith,WR,31,14.205822621713915,7.334655904099432,13.246547949204496,0.5867285202276731,29,13.868587102439683,7.166038144462313,12.430533450792906,27.797399041752225,-0.0479862098791227,-0.300520792295508,-0.515493706116081,-0.8160144984115902,-0.33723551927423223,-2
Chris Olave,WR,34,15.267492602389275,6.88173719563175,15.070611111111113,0.6018310388772187,36,14.87238891829714,6.486633511539615,14.078309544012566,26.17932922655715,-0.0184704763833151,-0.7938817638144542,-0.1984198032840914,-0.9923015670985471,-0.3951036840921347,2
Zay Flowers,WR,35,14.480727369195373,6.797471962437844,13.793508403361344,0.6316382999991158,33,14.278693258510868,6.595437851753339,13.245041744954626,25.971252566735114,-0.0093094840448064,-0.4484591678302703,-0.10000749057644709,-0.548466658406717,-0.2020341106845045,-2
Tetairoa McMillan,WR,36,14.129727179401629,6.744108182943286,12.552941176470588,0.8088492921551105,32,14.26559684241492,6.812043014449932,13.263739815644572,23.408624229979463,0.0766780678935343,-0.11291845571280135,0.8237170948867847,0.7107986391739836,0.13586966301329184,-4
Emeka Egbuka,WR,37,13.980877080935706,6.499683133710324,11.511764705882351,0.8088492921551105,34,14.150159256903953,6.584324221694448,12.397360045166211,23.88227241615332,0.0667349737160006,0.16869231620540326,0.7169030230784574,0.88559533928386,0.16928217596824702,-3
Malik Nabers,WR,38,14.841912644377548,6.3777747087445125,15.59666666666667,0.6897097655400394,37,14.82776224591034,6.366454389970743,15.551062916062548,23.096509240246405,0.0829005329400858,-0.9361659156913813,0.890562165087258,-0.04560375060412092,-0.01415039846720667,-1
Ladd McConkey,WR,39,13.47914225219603,6.256315719340489,12.55625,0.6897097655400394,39,13.583152438965282,6.308320812725115,12.89145290108477,24.804928131416837,0.0417979704832115,-0.11381340519982963,0.44901630628460004,0.33520290108477013,0.10401018676925133,0
Tee Higgins,WR,40,14.62262584890312,6.2368704421455945,15.041179138321995,0.579126763028035,44,14.07688782718283,5.691132420425303,13.74449887029953,27.61943874058864,-0.0475454733053394,-0.7859211915096118,-0.5107590765128519,-1.296680268022465,-0.5457380217202896,4
Garrett Wilson,WR,41,14.55056921854534,6.187313811787816,14.05036414565826,0.6018310388772187,41,14.277794118829505,5.914538712071978,13.365290404735193,26.11088295687885,-0.015558880265418,-0.5179318709725056,-0.16714186995056157,-0.6850737409230678,-0.2727750997158349,0
DJ Moore,WR,43,13.201569396751497,5.88252929161822,12.27039600153787,0.5734031673209011,43,12.9132115721361,5.738350379310522,11.594446715171957,29.38261464750171,-0.0595252089551882,-0.03649743865926247,-0.6394518477066498,-0.6759492863659133,-0.28835782461539594,0
Terry McLaurin,WR,46,13.436837803823677,5.446082397066146,12.817073380533316,0.5753131613547278,54,12.95103967071161,4.960284263954083,11.673176068665272,30.962354551676935,-0.0893213521051494,-0.18435924982961005,-0.9595380620384324,-1.1438973118680433,-0.4857981331120662,8
Jaylen Waddle,WR,47,13.335772575379874,5.437517168622347,12.542768003975784,0.5867285202276731,51,13.077492310317725,5.179236903560198,11.917802871602175,27.76728268309377,-0.0479214714900441,-0.11016688089330806,-0.5147982514802976,-0.6249651323736085,-0.2582802650621492,4
Rome Odunze,WR,49,12.983172211992445,5.293330699238695,10.957843137254905,0.6897097655400394,47,13.276135665864537,5.439812426174742,11.902002576825971,24.246406570841888,0.0582400473752514,0.3185134895893782,0.6256459499816901,0.9441594395710666,0.2929634538720922,-2
Luther Burden III,WR,52,12.512124739680027,5.285306963082485,9.715384615384616,0.8088492921551105,46,12.822111443972965,5.440300315228955,11.337072067070524,22.72142368240931,0.0900272972176797,0.6545657471116435,0.9671217045742666,1.6216874516859079,0.3099867042929372,-6
Jameson Williams,WR,53,13.398588111753456,5.057832704995928,12.649264069264069,0.6018310388772187,52,13.41238269352256,5.0716272867650325,12.683909114749795,25.43463381245722,0.0161615714289195,-0.13897125748005656,0.17361630296578434,0.034645045485726556,0.013794581769102976,-1
Mike Evans,WR,60,13.200269562094498,4.814379374289722,13.662406955944771,0.5716106102813692,66,12.34532815962017,4.386908673052558,11.666695990657187,33.02943189596167,-0.1473312182120288,-0.4129996844002264,-1.5827112808873558,-1.995710965287584,-0.8549414024743278,6
Courtland Sutton,WR,69,12.972727077288605,4.400608131886774,13.1324141950898,0.5734031673209011,70,12.455253607229654,4.141871396857299,11.919387209377948,30.89390828199863,-0.0878168940387657,-0.2696506223424713,-0.9433763633693785,-1.213026985711851,-0.5174734700589507,1
Alec Pierce,WR,75,12.015566896456772,3.69119811040789,10.748392857142855,0.6018310388772187,74,12.060001771504211,3.726746010445845,10.859990895629178,26.33264887063655,-0.0245348180647417,0.37516426563651173,-0.2635662271501885,0.11159803848632244,0.044434875047439704,-1
