name,position,value,mu,sigma,d_shift,S_5,Sfree_5,S_16,Sfree_16,S_25,Sfree_25,S_36,Sfree_36,S_45,Sfree_45,S_56,Sfree_56,S_65,Sfree_65,S_76,Sfree_76,S_85,Sfree_85,S_96,Sfree_96,S_105,Sfree_105,S_116,Sfree_116,S_125,Sfree_125,S_136,Sfree_136
Justice Hill,RB,0.7990907308935523,180.0,12.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Sam LaPorta,TE,0.6760399609044659,88.0,23.1,0.0,1.0,1.0,0.9993333333333333,0.9993333333333333,0.997,0.9963333333333333,0.991,0.9903333333333333,0.979,0.979,0.95,0.95,0.9046666666666666,0.9046666666666666,0.8186666666666667,0.8186666666666667,0.7176666666666667,0.7176666666666667,0.556,0.556,0.41533333333333333,0.41533333333333333,0.24533333333333332,0.24533333333333332,0.14866666666666667,0.14866666666666667,0.07,0.07
Kyle Pitts,TE,0.6735399609044659,81.0,9.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9993333333333333,0.9993333333333333,0.9946666666666667,0.9946666666666667,0.9223333333333333,0.9223333333333333,0.733,0.733,0.31666666666666665,0.31666666666666665,0.085,0.085,0.006666666666666667,0.006666666666666667,0.0,0.0,0.0,0.0
Harold Fannin Jr.,TE,0.5672899609044659,83.0,7.4,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9993333333333333,0.9993333333333333,0.9813333333333333,0.9813333333333333,0.8626666666666667,0.8626666666666667,0.399,0.399,0.087,0.087,0.005,0.005,0.0,0.0,0.0,0.0
Tyler Shough,QB,0.5272532136047392,135.0,13.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996666666666667,0.9996666666666667,0.9916666666666667,0.9916666666666667,0.963,0.963,0.8463333333333334,0.8463333333333334
Travis Hunter,WR,0.4925333193972712,181.5,13.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Isaac TeSlaa,WR,0.4925333193972712,178.0,40.2,0.0,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9993333333333333,0.9993333333333333,0.999,0.999,0.9973333333333333,0.9973333333333333,0.9966666666666667,0.9966666666666667,0.9893333333333333,0.9893333333333333,0.9843333333333333,0.9843333333333333,0.97,0.97,0.9476666666666667,0.9476666666666667,0.919,0.919
Jordan Love,QB,0.3978537343333629,147.0,13.7,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996666666666667,0.9996666666666667,0.9983333333333333,0.9983333333333333,0.996,0.996,0.9703333333333334,0.9703333333333334
C.J. Stroud,QB,0.3833537343333629,164.0,15.3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9973333333333333,0.9973333333333333
Jake Ferguson,TE,0.3796244743673707,141.0,17.1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9986666666666667,0.9986666666666667,0.9966666666666667,0.9966666666666667,0.986,0.986,0.954,0.954,0.8726666666666667,0.8726666666666667
Dallas Goedert,TE,0.3010399609044659,108.0,21.7,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9986666666666667,0.9986666666666667,0.989,0.989,0.9733333333333334,0.9733333333333334,0.9396666666666667,0.9396666666666667,0.8623333333333333,0.8623333333333333,0.7603333333333333,0.7603333333333333,0.595,0.595,0.442,0.442,0.2693333333333333,0.2693333333333333
Germie Bernard,WR,0.1950779265758058,186.5,10.6,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cyrus Allen,WR,0.1950779265758058,190.5,23.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996666666666667,0.9996666666666667,0.997,0.997
Mark Andrews,TE,0.1671244743673707,136.0,18.4,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.997,0.997,0.9883333333333333,0.9883333333333333,0.964,0.964,0.9173333333333333,0.9173333333333333,0.79,0.79
