pos,arm,n,rmse_mu,rmse_arm,d_rmse,label,mean_gain,dm_t,dm_p,mde80,folds_improved,n_folds,obs_over_mde,spearman,spearman_mu,gain_vs_mucal,p_vs_mucal,rmse_theta_mu,rmse_theta_arm,eq7_gain,eq7_p,eq7_mde,bh_reject_12,bh_reject_6
WR,mu_cal (control),568,3.776007070631069,3.605936575031075,-0.17007049559999388,tier A | gated | clean env | PPG,1.2866122351874267,2.3173826627045857,0.04568112164542336,1.7464173540527017,8,10,0.7367152142652155,0.542041250309014,0.542041250309014,,,,,,,,False,
WR,ridge_P0,568,3.776007070631069,3.5324934385473026,-0.2435136320837663,tier A | gated | clean env | PPG,1.8050133226431488,2.438206646885633,0.037474710633942705,2.328670361112891,7,10,0.7751261633185892,0.5623792994899672,0.542041250309014,0.5184010874557219,0.17957711995841932,3.403603515941307,3.3837557035376933,0.1320509992281622,0.5815279137649918,0.7265753331117996,True,True
WR,ridge_P1,568,3.776007070631069,3.5071566073418254,-0.26885046328924345,tier A | gated | clean env | PPG,1.9818420642330743,2.8853051974720914,0.01802156908221402,2.1606051087915525,9,10,0.9172625095483264,0.5856193340088439,0.542041250309014,0.6952298290456476,0.0831820678476647,3.403603515941307,3.3799889930408704,0.158444576320109,0.4808510017852038,0.6777717097058917,True,True
WR,gbt_P0,568,3.776007070631069,3.6780137182190016,-0.0979933524120673,tier A | gated | clean env | PPG,0.7441457782786459,1.2107598353133022,0.2568220078724896,1.9332950160466897,5,10,0.38491061741850296,0.5410491833404819,0.542041250309014,-0.5424664569087807,0.390446132492381,3.403603515941307,3.4132152478045445,-0.07059438301776713,0.7588526792365801,0.7016440474839251,False,False
WR,gbt_P1,568,3.776007070631069,3.690831218913117,-0.08517585171795172,tier A | gated | clean env | PPG,0.6456485486505964,1.0785570595703224,0.3088419792087567,1.8830036768788807,6,10,0.34288225592887467,0.5477530349569617,0.542041250309014,-0.6409636865368304,0.32239373229688434,3.403603515941307,3.4176517523794616,-0.1024094348066277,0.6301529404026505,0.6463355330644355,False,False
WR,hier_P0,568,3.776007070631069,3.534319612848462,-0.2416874577826067,tier A | gated | clean env | PPG,1.801058854187795,2.3483715149850766,0.04342076449583356,2.4124549692764425,8,10,0.7465668280340914,0.5689506686337624,0.542041250309014,0.5144466190003685,0.20007586444373962,3.403603515941307,3.3837812722914458,0.13369506799914638,0.5908606019575325,0.7545089911629689,True,True
WR,hier_P1,568,3.776007070631069,3.489339804939282,-0.2866672656917868,tier A | gated | clean env | PPG,2.1122761546669917,3.340762876345966,0.008649669209197295,1.9888551767636087,9,10,1.0620562921550787,0.5950044197462606,0.542041250309014,0.825663919479565,0.055819822028568306,3.403603515941307,3.375924249405445,0.1884099880743519,0.3727608788809085,0.6318677886864448,True,True
RB,mu_cal (control),489,4.490909578515818,4.170787806571864,-0.3201217719439535,tier A | gated | clean env | PPG,2.761311262200213,4.513264791472719,0.0014608457986447785,1.9245210460258395,9,10,1.4348043986852501,0.49473399193971657,0.49473399193971657,,,,,,,,False,
RB,ridge_P0,489,4.490909578515818,4.1541979784771454,-0.3367116000386723,tier A | gated | clean env | PPG,2.8777032085485974,4.02100853902872,0.003013481385477373,2.251174291073302,9,10,1.2783120436119508,0.497118803243369,0.49473399193971657,0.11639194634838428,0.8704060446216131,3.7842142879145224,3.7198042060616547,0.4761422531237464,0.022422502871515846,0.5443380005929782,True,True
RB,ridge_P1,489,4.490909578515818,4.071196511093788,-0.4197130674220295,tier A | gated | clean env | PPG,3.549594924732605,5.677864402834217,0.0003026858748385168,1.9664906818609256,10,10,1.805040297151858,0.5124650744326754,0.49473399193971657,0.7882836625323926,0.26784090740490246,3.7842142879145224,3.7018181729621125,0.6072758768172145,0.007013884134978826,0.5499977823566994,True,True
RB,gbt_P0,489,4.490909578515818,4.366465646452246,-0.12444393206357152,tier A | gated | clean env | PPG,1.0383030536776123,1.1379502239741353,0.2845268989592381,2.8701128981072146,6,10,0.3617638366638308,0.41689678976378663,0.49473399193971657,-1.7230082085226008,0.10528558106595717,3.7842142879145224,3.76507331197481,0.12417104513706123,0.6535283467498404,0.8414213891226334,False,False
