decision_pick,next_pick,position,best_now,best_now_player,E_best_next,sd_best_next,se_E_best_next,p10,p50,p90,vona,p_top_survives,model
88,105,QB,6.750729941086178,Dak Prescott,6.214062050180046,0.49136728044571576,0.005493653204979118,5.747689138692299,5.814354847552749,6.750729941086178,0.5366678909061315,0.449125,M2R
88,105,RB,4.421666052831662,Rico Dowdle,3.416027219895597,0.4983483819272741,0.0055717042923320624,2.882044456313456,3.2720444563134556,4.421666052831662,1.0056388329360648,0.180625,M2R
88,105,TE,2.3721746627675344,Travis Kelce,2.1251722378913462,0.27889933475860457,0.0031181893569985483,1.7846746627675345,2.3721746627675344,2.3721746627675344,0.24700242487618818,0.551625,M2R
88,105,WR,6.366214107905339,Wan'Dale Robinson,5.293517179747394,0.6062214199300543,0.006777761521900236,4.713033801097173,5.2287089617977545,6.292464674343118,1.0726969281579448,0.07475,M2R
105,116,QB,6.211702584440274,(simulated),6.051690628147724,0.5393333859386175,0.008527609588683304,5.6208548475527484,5.814354847552749,6.750729941086178,0.16001195629254994,0.7635,M2R
105,116,RB,3.4106264900897996,(simulated),3.052660194767251,0.42755745139101103,0.00676027688486161,2.6520444563134555,3.2670444563134557,3.2720444563134556,0.3579662953225484,0.465,M2R
105,116,TE,2.1255135133638094,(simulated),1.9688388991422165,0.3331090191185171,0.005266916047795441,1.6157591762304393,1.8632591762304391,2.3721746627675344,0.1566746142215929,0.64825,M2R
105,116,WR,5.291326474591573,(simulated),4.742085745019182,0.44148305489580136,0.006980460009199415,4.215533801097173,4.713033801097173,5.2287089617977545,0.5492407295723911,0.3535,M2R
88,105,QB,6.750729941086178,Dak Prescott,5.693908502099146,0.35589547846322417,0.003979032413642908,5.452854847552748,5.747689138692299,5.814354847552749,1.0568214389870318,0.055375,M1
88,105,RB,4.421666052831662,Rico Dowdle,4.07866639306706,0.5276433086170559,0.005899231529703187,3.2720444563134556,4.421666052831662,4.421666052831662,0.3429996597646019,0.702625,M1
88,105,TE,2.3721746627675344,Travis Kelce,2.2234137875928717,0.23606812789350107,0.002639321906454913,1.8632591762304391,2.3721746627675344,2.3721746627675344,0.14876087517466274,0.714625,M1
88,105,WR,6.366214107905339,Wan'Dale Robinson,5.39336269189301,0.6167614522759003,0.006895602665952027,4.713033801097173,5.2287089617977545,6.292464674343118,0.9728514160123289,0.09975,M1
