team,season,lead,lead_name,n_pres,n_abs,inj_frac,bk_ante,bk_post,same_backup,bk_ante_name,bk_post_name,car_den,car_ante,car_post,car_rest,car_leak,tgt_den,tgt_ante,tgt_post,tgt_rest,tgt_leak,gl10_den,gl10_ante,gl10_post,gl10_rest,gl10_leak,ppg_bk_in,ppg_bk_out,g_bk_out,ppg_lead_in
ARI,2015,00-0026164,Chris Johnson,11,5,0.0,00-0030287,00-0032187,0,Andre Ellington,David Johnson,17.818181818181817,-0.08265306122448982,0.8316326530612246,1.172448979591837,0.08979591836734703,1.1818181818181819,-1.1076923076923075,2.5846153846153843,3.184615384615385,1.0769230769230766,,,,,,8.412500000000001,3.7,2,9.745454545454546
ARI,2019,00-0033118,Kenyan Drake,8,8,0.125,00-0032187,00-0032187,1,David Johnson,David Johnson,15.375,0.4796747967479675,0.4796747967479675,0.4715447154471545,-0.04878048780487805,4.375,1.0,1.0,0.5142857142857142,0.5142857142857142,1.375,0.6363636363636364,0.6363636363636364,0.09090909090909091,-0.2727272727272727,4.000000000000001,20.216666666666665,6,19.925
ARI,2021,00-0033553,James Conner,15,2,0.5,00-0034681,00-0034681,1,Chase Edmonds,Chase Edmonds,13.466666666666667,0.8613861386138614,0.8613861386138614,-0.03465346534653466,-0.17326732673267317,2.6,1.9102564102564101,1.9102564102564101,-0.03846153846153845,0.8717948717948717,1.8666666666666667,1.0892857142857142,1.0892857142857142,-0.03571428571428571,0.05357142857142862,11.455555555555556,19.95,2,17.18
ARI,2022,00-0033553,James Conner,13,4,1.0,00-0036383,00-0036383,1,Eno Benjamin,Eno Benjamin,14.076923076923077,0.45355191256830607,0.45355191256830607,0.33333333333333337,-0.21311475409836067,4.461538461538462,0.5301724137931034,0.5301724137931034,0.5689655172413792,0.0991379310344828,1.1538461538461537,1.0166666666666668,1.0166666666666668,1.0166666666666668,1.0333333333333337,7.5,13.766666666666666,3,15.399999999999999
ARI,2023,00-0033553,James Conner,13,4,0.0,00-0038705,00-0038705,1,Emari Demercado,Emari Demercado,16.0,0.4362980769230769,0.4362980769230769,0.3533653846153846,-0.21033653846153832,2.5384615384615383,-0.007575757575757549,-0.007575757575757549,0.42424242424242425,-0.5833333333333334,1.5384615384615385,-0.05,-0.05,0.11249999999999999,-0.9375000000000001,6.275,7.7,3,15.5
ATL,2017,00-0031285,Devonta Freeman,14,2,1.0,00-0032058,00-0032058,1,Tevin Coleman,Tevin Coleman,14.0,0.7959183673469388,0.7959183673469388,0.37755102040816324,0.17346938775510218,3.357142857142857,-0.48936170212765956,-0.48936170212765956,0.2765957446808511,-1.2127659574468084,,,,,,10.246153846153847,17.25,2,14.3
ATL,2019,00-0031285,Devonta Freeman,14,2,1.0,00-0033567,00-0033567,1,Brian Hill,Brian Hill,13.142857142857142,0.6250000000000001,0.6250000000000001,0.3804347826086957,0.005434782608695768,5.0,0.6,0.6,0.14285714285714288,-0.2571428571428571,0.21428571428571427,1.3333333333333333,1.3333333333333333,9.666666666666666,10.0,7.871428571428573,5.25,2,14.114285714285716
BAL,2015,00-0026373,Justin Forsett,10,6,0.0,00-0031577,00-0031577,1,Javorius Allen,Javorius Allen,15.1,0.3818984547461368,0.3818984547461368,0.4437086092715232,-0.17439293598234015,4.1,1.2845528455284556,1.2845528455284556,0.12195121951219513,0.4065040650406503,,,,,,4.85,16.2,6,12.24
BAL,2018,00-0034184,Gus Edwards,10,6,0.0,00-0032426,00-0032426,1,Alex Collins,Alex Collins,13.6,0.4558823529411765,0.4558823529411765,0.2254901960784313,-0.3186274509803921,0.2,9.499999999999998,9.499999999999998,18.5,27.0,0.9,1.037037037037037,1.037037037037037,0.8518518518518519,0.888888888888889,11.325,10.549999999999999,6,8.879999999999999
BUF,2015,00-0027029,LeSean McCoy,12,4,1.0,00-0032152,00-0032152,1,Karlos Williams,Karlos Williams,16.916666666666668,0.3497536945812808,0.3497536945812808,0.6502463054187192,0.0,4.166666666666667,0.43999999999999995,0.43999999999999995,0.38,-0.18,,,,,,10.1125,14.466666666666667,3,14.891666666666666
